phylum_a	phylum_b	mya	source
Bacteria	Euglenozoa		unknown
Bacteria	Amoebozoa		unknown
Bacteria	Ctenophora		unknown
Bacteria	Archaea	3500.0	backbone
Bacteria	Fungi		unknown
Bacteria	Placozoa		unknown
Bacteria	Chlorophyta		unknown
Bacteria	Choanoflagellatea		unknown
Bacteria	Apicomplexa		unknown
Bacteria	Viridiplantae		unknown
Bacteria	Crustacea		unknown
Bacteria	Platyhelminthes		unknown
Bacteria	Cnidaria		unknown
Bacteria	Annelida		unknown
Bacteria	Nematoda		unknown
Bacteria	Myriapoda		unknown
Bacteria	Chelicerata		unknown
Bacteria	Priapulida		unknown
Bacteria	Mollusca		unknown
Bacteria	Brachiopoda		unknown
Bacteria	Hemichordata		unknown
Archaea	Amoebozoa		unknown
Bacteria	Insecta		unknown
Archaea	Euglenozoa		unknown
Bacteria	Cephalochordata		unknown
Archaea	Apicomplexa		unknown
Bacteria	Echinodermata		unknown
Archaea	Fungi		unknown
Archaea	Chlorophyta		unknown
Archaea	Choanoflagellatea		unknown
Archaea	Placozoa		unknown
Archaea	Platyhelminthes		unknown
Archaea	Ctenophora		unknown
Archaea	Viridiplantae		unknown
Archaea	Annelida		unknown
Archaea	Brachiopoda		unknown
Archaea	Cnidaria		unknown
Archaea	Nematoda		unknown
Archaea	Mollusca		unknown
Archaea	Priapulida		unknown
Archaea	Crustacea		unknown
Archaea	Insecta		unknown
Archaea	Myriapoda		unknown
Archaea	Chelicerata		unknown
Amoebozoa	Chlorophyta		unknown
Archaea	Echinodermata		unknown
Archaea	Cephalochordata		unknown
Archaea	Hemichordata		unknown
Amoebozoa	Apicomplexa		unknown
Amoebozoa	Euglenozoa		unknown
Amoebozoa	Viridiplantae	1500.0	backbone
Amoebozoa	Platyhelminthes		unknown
Amoebozoa	Placozoa		unknown
Amoebozoa	Ctenophora		unknown
Amoebozoa	Choanoflagellatea		unknown
Amoebozoa	Brachiopoda		unknown
Amoebozoa	Cnidaria		unknown
Amoebozoa	Mollusca		unknown
Amoebozoa	Fungi		unknown
Amoebozoa	Annelida		unknown
Amoebozoa	Crustacea		unknown
Amoebozoa	Nematoda		unknown
Amoebozoa	Echinodermata		unknown
Amoebozoa	Myriapoda		unknown
Amoebozoa	Priapulida		unknown
Amoebozoa	Chelicerata		unknown
Amoebozoa	Hemichordata		unknown
Amoebozoa	Cephalochordata		unknown
Amoebozoa	Insecta		unknown
Apicomplexa	Euglenozoa		unknown
