species_key	status
aedes_albopictus_gca035046485v1rs	EXISTS
adineta_vaga	EXISTS
acyrthosiphon_pisum_gca005508785v2rs	EXISTS
actinia_equina_gca011057435	EXISTS
actinia_tenebrosa_gca009602425v1	EXISTS
aedes_aegypti_lvpagwg	EXISTS
acromyrmex_echinatior_gca000204515v1rs	EXISTS
acropora_millepora_gca013753865v1	EXISTS
adelges_cooleyi_gca023614345v1rs	EXISTS
amblyteles_armatorius_gca933228735v1	EXISTS
acanthaster_planci_gca001949145v1	EXISTS
agrilus_planipennis_gca000699045v2	EXISTS
aethina_tumida_gca024364675v1rs	EXISTS
amblyomma_americanum_gca030143305v2gb	EXISTS
amphimedon_queenslandica_gca000090795v2rs	EXISTS
amphibalanus_amphitrite_gca019059575v1	EXISTS
amyelois_transitella_gca032362555v1rs	EXISTS
anastrepha_ludens_gca028408465v1rs	EXISTS
anastrepha_obliqua_gca027943255v1rs	EXISTS
ancistrocerus_nigricornis_gca916049575v1	EXISTS
anopheles_christyi	EXISTS
anopheles_coluzzii_gca943734685v1rs	EXISTS
anneissia_japonica_gca011630105v1	EXISTS
anopheles_arabiensis	EXISTS
anopheles_atroparvus_gca914969975	EXISTS
anopheles_albimanus_gca013758885v1rs	EXISTS
anopheles_funestus_gca943734845v1rs	EXISTS
anopheles_darlingi_gca943734745v1rs	EXISTS
anopheles_dirus	EXISTS
anopheles_melas	EXISTS
anopheles_merus	EXISTS
anopheles_minimus	EXISTS
anopheles_farauti	EXISTS
anopheles_sinensis	EXISTS
anopheles_gambiae	EXISTS
anopheles_maculatus	EXISTS
anthonomus_grandis_gca022605725v3rs	EXISTS
anopheles_quadriannulatus_gca000349065v1vb	EXISTS
anopheles_culicifacies	EXISTS
apis_mellifera	EXISTS
anoplophora_glabripennis	EXISTS
anopheles_epiroticus	EXISTS
ascaris_suum	EXISTS
apis_dorsata_gca000469605v1rs	EXISTS
atta_cephalotes	EXISTS
anopheles_stephensi_indian	EXISTS
aplysia_californica_gca000002075v2	EXISTS
argiope_bruennichi_gca947563725v1rs	EXISTS
aphidius_gifuensis_gca014905175v1	EXISTS
asterias_rubens_gca902459465v3	EXISTS
athalia_rosae_gca917208135v1	EXISTS
apis_florea_gca000184785v2rs	EXISTS
bactrocera_dorsalis_gca023373825v1rs	EXISTS
bactrocera_latifrons_gca001853355v1	EXISTS
bactrocera_neohumeralis_gca024586455v2rs	EXISTS
bactrocera_oleae_gca042242935v1rs	EXISTS
bactrocera_tryoni_gca016617805v2	EXISTS
belgica_antarctica	EXISTS
bemisia_tabaci_uganda1	EXISTS
bicyclus_anynana_gca947172395v1	EXISTS
biomphalaria_glabrata_gca947242115v1rs	EXISTS
bombus_affinis_gca024516045v2rs	EXISTS
bombus_huntii_gca024542735v1rs	EXISTS
bombus_impatiens	EXISTS
bombus_terrestris_gca910591885v2	EXISTS
bombus_vancouverensis_gca011952275v1rs	EXISTS
bombyx_mandarina_gca003987935v1rs	EXISTS
bombyx_mori_gca030269925v1rs	EXISTS
brugia_malayi	EXISTS
caenorhabditis_briggsae	EXISTS
caenorhabditis_elegans	EXISTS
caenorhabditis_japonica	EXISTS
caenorhabditis_remanei_gca010183535v1rs	EXISTS
bradysia_coprophila_gca014529535v1rs	EXISTS
chelonus_insularis_gca013357705v1rs	EXISTS
caenorhabditis_brenneri	EXISTS
capitella_teleta	EXISTS
cataglyphis_hispanica_gca021464435v1rs	EXISTS
centruroides_sculpturatus_gca000671375v2	EXISTS
ceratitis_capitata_gca000347755v4	EXISTS
branchiostoma_lanceolatum	EXISTS
cherax_quadricarinatus_gca038502225v1rs	EXISTS
camponotus_floridanus_gca003227725v1rs	EXISTS
chrysoperla_carnea_gca905475395v1rs	EXISTS
cimex_lectularius	EXISTS
clytia_hemisphaerica_gca902728285	EXISTS
contarinia_nasturtii_gca009176525v2rs	EXISTS
culex_pipiens_gca016801865v2rs	EXISTS
culex_quinquefasciatus_gca015732765v1vb	EXISTS
cotesia_glomerata_gca020080835v1	EXISTS
crassostrea_angulata_gca025612915v2rs	EXISTS
crassostrea_virginica_gca002022765v4	EXISTS
cylas_formicarius_gca029955315v1rs	EXISTS
ctenocephalides_felis_gca003426905v1rs	EXISTS
copidosoma_floridanum_gca000648655v2	EXISTS
daphnia_carinata_gca022539665v4rs	EXISTS
culicoides_brevitarsis_gca036172545v1rs	EXISTS
culicoides_sonorensis	EXISTS
cydia_pomonella_gca033807575v1rs	EXISTS
cryptotermes_secundus_gca002891405v2rs	EXISTS
dendronephthya_gigantea_gca004324835v1	EXISTS
danaus_plexippus_gca018135715v1	EXISTS
coremacera_marginata_gca914767935v1	EXISTS
daphnia_magna_gca020631705v2	EXISTS
daphnia_pulex_gca021134715v1rs	EXISTS
daphnia_pulicaria_gca021234035v2rs	EXISTS
dendroctonus_ponderosae_gca020466585v2rs	EXISTS
daktulosphaira_vitifoliae_gca025091365v1rs	EXISTS
dermacentor_andersoni_gca023375885v2rs	EXISTS
diorhabda_sublineata_gca026230105v1rs	EXISTS
diuraphis_noxia_gca001186385v1	EXISTS
diabrotica_virgifera_gca917563875v2rs	EXISTS
diaphorina_citri_gca000475195v1rs	EXISTS
dimorphilus_gyrociliatus_gca904063045v1	EXISTS
dinothrombium_tinctorium	EXISTS
diorhabda_carinulata_gca026250575v1rs	EXISTS
dermacentor_silvarum_gca013339745v2rs	EXISTS
drosophila_busckii_gca011750605v1rs	EXISTS
drosophila_elegans_gca018152505v1rs	EXISTS
drosophila_albomicans_gca009650485v2rs	EXISTS
drosophila_ananassae_gca017639315v2rs	EXISTS
drosophila_arizonae_gca001654025v1rs	EXISTS
drosophila_grimshawi_gca018153295v1rs	EXISTS
drosophila_guanche_gca900245975v1rs	EXISTS
drosophila_bipectinata_gca030179905v2rs	EXISTS
dermatophagoides_pteronyssinus_gca001901225v2	EXISTS
dreissena_polymorpha_gca020536995v1rs	EXISTS
drosophila_erecta_gca003286155v2rs	EXISTS
drosophila_eugracilis_gca018153835v1rs	EXISTS
drosophila_melanogaster	EXISTS
drosophila_miranda_gca003369915v2rs	EXISTS
drosophila_biarmipes_gca025231255v1rs	EXISTS
drosophila_gunungcola_gca025200985v1rs	EXISTS
drosophila_hydei_gca003285905v2rs	EXISTS
drosophila_innubila_gca004354385v1rs	EXISTS
drosophila_kikkawai_gca030179895v2rs	EXISTS
drosophila_mauritiana_gca004382145v1rs	EXISTS
drosophila_ficusphila_gca018152265v1rs	EXISTS
drosophila_mojavensis_gca018153725v1rs	EXISTS
drosophila_montana_gca035044405v1rs	EXISTS
drosophila_santomea_gca016746245v2rs	EXISTS
drosophila_sechellia_gca004382195v2rs	EXISTS
drosophila_novamexicana_gca003285875v3rs	EXISTS
drosophila_simulans_gca016746395v2rs	EXISTS
drosophila_persimilis_gca003286085v2rs	EXISTS
drosophila_pseudoobscura_gca009870125v2rs	EXISTS
drosophila_rhopaloa_gca018152115v1rs	EXISTS
drosophila_nasuta_gca023558535v2rs	EXISTS
drosophila_navojoa_gca001654015v2rs	EXISTS
drosophila_serrata_gca002093755v2rs	EXISTS
drosophila_obscura_gca018151105v1rs	EXISTS
drosophila_subobscura_gca008121235v1rs	EXISTS
drosophila_subpulchrella_gca014743375v2rs	EXISTS
drosophila_sulfurigaster_gca023558435v2rs	EXISTS
dufourea_novaeangliae_gca001272555v1rs	EXISTS
echinococcus_granulosus_gca000524195v1rs	EXISTS
eriocheir_sinensis_gca024679095v1rs	EXISTS
drosophila_tropicalis_gca018151085v1rs	EXISTS
drosophila_virilis_gca030788295v1rs	EXISTS
drosophila_willistoni_gca018902025v2rs	EXISTS
drosophila_yakuba_gca016746365v2rs	EXISTS
drosophila_suzukii_gca037355615v1rs	EXISTS
drosophila_takahashii_gca030179915v2rs	EXISTS
drosophila_teissieri_gca016746235v2rs	EXISTS
eufriesea_mexicana_gca001483705v2rs	EXISTS
glossina_fuscipes	EXISTS
folsomia_candida	EXISTS
exaiptasia_diaphana_gca001417965v1	EXISTS
galendromus_occidentalis_gca000255335v2rs	EXISTS
gigantopelta_aegis_gca016097555v1	EXISTS
glossina_austeni	EXISTS
glossina_brevipalpis	EXISTS
eurytemora_carolleeae_gca000591075v1rs	EXISTS
glossina_morsitans	EXISTS
glossina_pallidipes	EXISTS
glossina_palpalis	EXISTS
glyphotaelius_pellucidus_gca936435175v1	EXISTS
gordionus_sp_gca954871325v1rs	EXISTS
habropoda_laboriosa_gca001263275v1rs	EXISTS
haemaphysalis_longicornis_gca013339765v2vb	EXISTS
halichondria_panicea_gca963675165v1rs	EXISTS
haliotis_rubra_gca003918875v1rs	EXISTS
haliotis_rufescens_gca023055435v1rs	EXISTS
halyomorpha_halys_gca000696795v3rs	EXISTS
harpegnathos_saltator_gca003227715v2rs	EXISTS
heliconius_melpomene	EXISTS
helicoverpa_armigera_gca030705265v1rs	EXISTS
hyalella_azteca_gca000764305v4rs	EXISTS
helicoverpa_zea_gca022581195v1rs	EXISTS
hydra_vulgaris_gca038396675v1rs	EXISTS
hermetia_illucens_gca905115235v1	EXISTS
hofstenia_miamia	EXISTS
homalodisca_vitripennis_gca021130785v2rs	EXISTS
hymenolepis_microstoma	EXISTS
homarus_gammarus_gca958450375v1	EXISTS
ichneumon_xanthorius_gca917499995v1	EXISTS
ischnura_elegans_gca921293095v1rs	EXISTS
helobdella_robusta	EXISTS
hydractinia_symbiolongicarpus_gca029227915v2rs	EXISTS
leguminivora_glycinivorella_gca023078275v1rs	EXISTS
hylaeus_volcanicus_gca026283585v1rs	EXISTS
homarus_americanus_gca018991925v1	EXISTS
hypsibius_exemplaris_gca002082055v1	EXISTS
hyalomma_asiaticum_gca013339685v2vb	EXISTS
ixodes_persulcatus_gca013358835v2vb	EXISTS
limnephilus_rhombicus_gca929108145v2	EXISTS
limnoperna_fortunei_gca944474755v1	EXISTS
limulus_polyphemus_gca000517525v1	EXISTS
leptinotarsa_decemlineata_gca000500325v2	EXISTS
leptotrombidium_deliense_gca003675905v2gb	EXISTS
lingula_anatina_gca001039355v2	EXISTS
liolophura_japonica_gca032854445v1rs	EXISTS
loa_loa	EXISTS
lottia_gigantea	EXISTS
hylaeus_anthracinus_gca026225885v1rs	EXISTS
lepeophtheirus_salmonis_gca016086655v5rs	EXISTS
linepithema_humile_gca040581485v1rs	EXISTS
lineus_longissimus_gca910592395v2	EXISTS
limnephilus_lunatus_gca917563855v2	EXISTS
limnephilus_marmoratus_gca917880885v1	EXISTS
ixodes_scapularis_gca016920785v2	EXISTS
lucilia_cuprina_gca022045245v1rs	EXISTS
lucilia_sericata_gca015586225v1rs	EXISTS
lutzomyia_longipalpis_gca024334085v1rs	EXISTS
lytechinus_pictus_gca037042905v1rs	EXISTS
mayetiola_destructor	EXISTS
megachile_rotundata_gca000220905v1rs	EXISTS
macrobrachium_nipponense_gca015104395v2rs	EXISTS
macrosteles_quadrilineatus_gca028750875v1rs	EXISTS
magallana_gigas_gca963853765v1rs	EXISTS
malaya_genurostris_gca030247185v2rs	EXISTS
manduca_sexta_gca014839805v1rs	EXISTS
lytechinus_variegatus_gca018143015v1	EXISTS
machimus_atricapillus_gca933228815v1	EXISTS
megaselia_scalaris	EXISTS
melanaphis_sacchari_gca002803265v2rs	EXISTS
melitaea_cinxia_gca905220565v1	EXISTS
mercenaria_mercenaria_gca021730395v1rs	EXISTS
microctonus_aethiopoides_gca030347275v1cm	EXISTS
microctonus_hyperodae_gca030347285v1cm	EXISTS
microplitis_demolitor_gca026212275v2rs	EXISTS
microplitis_mediator_gca029852145v1rs	EXISTS
mizuhopecten_yessoensis_gca002113885v2	EXISTS
mnemiopsis_leidyi	EXISTS
monomorium_pharaonis_gca013373865v2	EXISTS
musca_domestica_gca030504385v2rs	EXISTS
mya_arenaria_gca026914265v1rs	EXISTS
myopa_tessellatipennis_gca943737955v2	EXISTS
mytilus_californianus_gca021869535v1rs	EXISTS
nasonia_vitripennis	EXISTS
necator_americanus_gca031761385v1rs	EXISTS
nematostella_vectensis_gca932526225v1rs	EXISTS
ooceraea_biroi_gca003672135v1	EXISTS
neodiprion_pinetum_gca021155775v1rs	EXISTS
nilaparvata_lugens_gca014356525v1rs	EXISTS
octopus_bimaculoides_gca001194135v2rs	EXISTS
octopus_sinensis_gca006345805v1	EXISTS
onchocerca_volvulus	EXISTS
onthophagus_taurus_gca000648695v2	EXISTS
neodiprion_lecontei_gca021901455v1rs	EXISTS
oppia_nitens_gca028296485v1rs	EXISTS
orbicella_faveolata_gca002042975v1	EXISTS
orchesella_cincta	EXISTS
ornithodoros_turicata_gca037126465v1rs	EXISTS
patella_vulgata_gca932274485v2rs	EXISTS
patiria_miniata_gca015706575v1	EXISTS
owenia_fusiformis_gca903813345v2gb	EXISTS
panonychus_citri_gca014898815v1rs	EXISTS
paramacrobiotus_metropolitanus_gca019649055v1rs	EXISTS
parasteatoda_tepidariorum_gca043381705v1rs	EXISTS
patella_pellucida_gca917208275v1	EXISTS
orussus_abietinus_gca000612105v2	EXISTS
ostrea_edulis_gca947568905v1rs	EXISTS
pecten_maximus_gca902652985v1rs	EXISTS
pectinophora_gossypiella_gca024362695v1rs	EXISTS
pediculus_humanus	EXISTS
photinus_pyralis_gca008802855v1rs	EXISTS
platynereis_dumerilii_gca026936325v1cm	EXISTS
plodia_interpunctella_gca027563975v2rs	EXISTS
pocillopora_damicornis_gca003704095v1	EXISTS
phlebotomus_argentipes_gca947086385v1rs	EXISTS
phlebotomus_papatasi_gca024763615v2rs	EXISTS
penaeus_monodon_gca015228065v1	EXISTS
polistes_fuscatus_gca010416935v1rs	EXISTS
pollicipes_pollicipes_gca011947565v3rs	EXISTS
pomacea_canaliculata_gca003073045v1	EXISTS
pomphorhynchus_laevis_gca012934845v2gb	EXISTS
phlebotomus_perniciosus_gca918844115v2	EXISTS
penaeus_chinensis_gca019202785v2rs	EXISTS
penaeus_japonicus_gca017312705v1	EXISTS
