species_key	status
plasmodium_falciparum	EXISTS
aspergillus_nidulans	EXISTS
schizosaccharomyces_pombe	EXISTS
pyrococcus_abyssi	EXISTS
chlamydomonas_reinhardtii	EXISTS
candida_albicans	EXISTS
solanum_lycopersicum	EXISTS
trypanosoma_brucei	EXISTS
arabidopsis_thaliana	EXISTS
halobacterium_salinarum	EXISTS
dictyostelium_discoideum	EXISTS
neurospora_crassa	EXISTS
methanocaldococcus_jannaschii	EXISTS
cryptococcus_neoformans	EXISTS
aspergillus_fumigatus	EXISTS
monosiga_brevicollis	EXISTS
saccharomyces_cerevisiae	EXISTS
ustilago_maydis	EXISTS
thermococcus_kodakarensis	EXISTS
sulfolobus_acidocaldarius	EXISTS
escherichia_coli_k12	EXISTS
pseudomonas_aeruginosa	EXISTS
caulobacter_crescentus	EXISTS
bacillus_subtilis	EXISTS
staphylococcus_aureus	EXISTS
streptococcus_pneumoniae	EXISTS
mycobacterium_tuberculosis	EXISTS
streptomyces_coelicolor	EXISTS
streptomyces_griseus	EXISTS
borrelia_burgdorferi	EXISTS
treponema_pallidum	EXISTS
deinococcus_radiodurans	EXISTS
thermotoga_maritima	EXISTS
clostridioides_difficile	EXISTS
arachis_hypogaea	EXISTS
arabis_alpina	EXISTS
avena_byzantina_gca910574625v1cm	EXISTS
actinidia_chinensis	EXISTS
asparagus_officinalis	EXISTS
avena_atlantica_gca910589765v1cm	EXISTS
avena_insularis_gca910574615v1cm	EXISTS
avena_longiglumis_gca910589755v1cm	EXISTS
aegilops_umbellulata	EXISTS
ananas_comosus	EXISTS
amborella_trichopoda	EXISTS
arabidopsis_halleri	EXISTS
aegilops_tauschii	EXISTS
avena_occidentalis_gca947310975v1cm	EXISTS
arabidopsis_lyrata	EXISTS
avena_eriantha_gca910589775v1cm	EXISTS
avena_sativa_gca947310255v1cm	EXISTS
avena_sterilis_gca947313515v1cm	EXISTS
beta_vulgaris	EXISTS
brachypodium_distachyon	EXISTS
brassica_juncea	EXISTS
brassica_napus	EXISTS
brassica_oleracea	EXISTS
brassica_rapa_ro18	EXISTS
cajanus_cajan_gca000340665v2gb	EXISTS
camelina_sativa	EXISTS
cannabis_sativa_female	EXISTS
capsicum_annuum	EXISTS
chara_braunii	EXISTS
chenopodium_quinoa	EXISTS
chondrus_crispus	EXISTS
citrullus_lanatus	EXISTS
avena_sativa_sang	EXISTS
citrus_clementina	EXISTS
corchorus_capsularis	EXISTS
corylus_avellana	EXISTS
corymbia_citriodora	EXISTS
cucumis_melo	EXISTS
cucumis_sativus	EXISTS
cyanidioschyzon_merolae	EXISTS
cynara_cardunculus_gca001531365v2gb	EXISTS
daucus_carota	EXISTS
digitaria_exilis	EXISTS
dioscorea_rotundata	EXISTS
echinochloa_crusgalli	EXISTS
eragrostis_curvula	EXISTS
eragrostis_tef	EXISTS
eucalyptus_grandis	EXISTS
ficus_carica	EXISTS
