species_key	display_name	n_lcr	n_nterm	n_cterm	pct_nterm	pct_cterm	asymmetry_ratio	tier	tier_label
closterium_nies54	Closterium sp. NIES-54	22504	1158	1067	5.15	4.74	1.085	1	Charophytes
avena_sterilis_gca947313515v1cm	Avena sterilis TN4	9470	2023	492	21.36	5.2	4.112	9	Grasses
echinochloa_crusgalli	Echinochloa crus-galli	8691	1659	507	19.09	5.83	3.272	9	Grasses
triticum_aestivum_stanley	Triticum aestivum Stanley	8515	1991	527	23.38	6.19	3.778	9	Grasses
trifolium_pratense	Trifolium pratense	7423	691	546	9.31	7.36	1.266	7	Eudicots
chara_braunii	Chara braunii	6278	474	387	7.55	6.16	1.225	1	Charophytes
camelina_sativa	Camelina sativa	6224	961	463	15.44	7.44	2.076	7	Eudicots
arachis_hypogaea	Arachis hypogaea	5376	886	312	16.48	5.8	2.84	7	Eudicots
chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	5150	174	379	3.38	7.36	0.459	0	Chlorophyta
brassica_napus	Brassica napus	5128	762	401	14.86	7.82	1.9	7	Eudicots
oryza_brachyantha	Oryza brachyantha	4608	593	169	12.87	3.67	3.509	9	Grasses
eragrostis_tef	Eragrostis tef	4312	869	235	20.15	5.45	3.698	9	Grasses
ananas_comosus	Ananas comosus	3725	704	169	18.9	4.54	4.166	8	Non-grass monocots
saccharum_spontaneum	Saccharum spontaneum	3608	673	203	18.65	5.63	3.315	9	Grasses
volvox_carteri	Volvox carteri f. nagariensis	3231	115	224	3.56	6.93	0.513	0	Chlorophyta
leersia_perrieri	Leersia perrieri	3061	691	162	22.57	5.29	4.265	9	Grasses
sorghum_bicolor	Sorghum bicolor	3041	582	154	19.14	5.06	3.779	9	Grasses
helianthus_annuus	Helianthus annuus	3034	444	195	14.63	6.43	2.277	7	Eudicots
sphagnum_fallax	Sphagnum fallax	2949	542	138	18.38	4.68	3.928	2	Bryophytes
hordeum_vulgare_zdm02064	Hordeum vulgare ZDM02064	2891	649	230	22.45	7.96	2.822	9	Grasses
glycine_max	Glycine max	2877	466	141	16.2	4.9	3.305	7	Eudicots
zea_mays	Zea mays	2812	493	193	17.53	6.86	2.554	9	Grasses
ficus_carica	Ficus carica	2603	330	135	12.68	5.19	2.444	7	Eudicots
lolium_perenne	Lolium perenne	2554	534	141	20.91	5.52	3.787	9	Grasses
setaria_viridis	Setaria viridis	2553	525	142	20.56	5.56	3.697	9	Grasses
brachypodium_distachyon	Brachypodium distachyon	2542	552	145	21.72	5.7	3.807	9	Grasses
secale_cereale	Secale cereale	2437	605	140	24.83	5.74	4.321	9	Grasses
musa_acuminata	Musa acuminata	2432	446	180	18.34	7.4	2.478	8	Non-grass monocots
aegilops_umbellulata	Aegilops umbellulata	2329	572	148	24.56	6.35	3.865	9	Grasses
lactuca_sativa_gca002870075v4gb	Lactuca sativa Salinas	2303	326	225	14.16	9.77	1.449	7	Eudicots
papaver_somniferum	Papaver somniferum	2300	411	147	17.87	6.39	2.796	7	Eudicots
panicum_hallii	Panicum hallii HAL2	2298	521	130	22.67	5.66	4.008	9	Grasses
dioscorea_rotundata	Dioscorea rotundata	2036	316	135	15.52	6.63	2.341	8	Non-grass monocots
