phylum_1	phylum_2	pvalue_raw	pvalue_holm	sig
Bacteria	Archaea	0.98734	1.0	False
Bacteria	Oomycota	0.017933	1.0	False
Bacteria	Bacillariophyta	0.037459	1.0	False
Bacteria	Apicomplexa	0.0	1e-06	True
Bacteria	Ciliophora	0.864479	1.0	False
Bacteria	Rhizaria	0.42472	1.0	False
Bacteria	Euglenozoa	0.001292	0.72497	False
Bacteria	Metamonada	0.076523	1.0	False
Bacteria	Amoebozoa	0.048869	1.0	False
Bacteria	Viridiplantae	0.063192	1.0	False
Bacteria	Chlorophyta	0.017363	1.0	False
Bacteria	Rhodophyta	0.022117	1.0	False
Bacteria	Cryptophyta	0.662556	1.0	False
Bacteria	Protist	0.001212	0.680941	False
Bacteria	Fungi	0.005139	1.0	False
Bacteria	Porifera	0.116873	1.0	False
Bacteria	Ctenophora	0.325703	1.0	False
Bacteria	Placozoa	0.254264	1.0	False
Bacteria	Xenacoelomorpha	0.190485	1.0	False
Bacteria	Cnidaria	0.004701	1.0	False
Bacteria	Platyhelminthes	0.003715	1.0	False
Bacteria	Rotifera	0.029116	1.0	False
Bacteria	Nemertea	0.276755	1.0	False
Bacteria	Annelida	0.023807	1.0	False
Bacteria	Mollusca	7.9e-05	0.045314	True
Bacteria	Nematoda	0.002051	1.0	False
Bacteria	Tardigrada	0.203695	1.0	False
Bacteria	Collembola	0.254264	1.0	False
Bacteria	Crustacea	6e-06	0.003637	True
Bacteria	Myriapoda	0.056757	1.0	False
Bacteria	Chelicerata	2e-06	0.001265	True
Bacteria	Insecta	0.0	0.0	True
Bacteria	Echinodermata	0.040088	1.0	False
Bacteria	Hemichordata	0.138671	1.0	False
Archaea	Oomycota	0.029267	1.0	False
Archaea	Bacillariophyta	0.042827	1.0	False
Archaea	Apicomplexa	4e-06	0.00236	True
Archaea	Ciliophora	0.831232	1.0	False
Archaea	Rhizaria	0.489038	1.0	False
Archaea	Euglenozoa	0.003848	1.0	False
Archaea	Metamonada	0.088256	1.0	False
Archaea	Amoebozoa	0.072462	1.0	False
Archaea	Viridiplantae	0.192635	1.0	False
Archaea	Chlorophyta	0.026527	1.0	False
Archaea	Rhodophyta	0.026836	1.0	False
Archaea	Cryptophyta	0.603804	1.0	False
Archaea	Protist	0.003309	1.0	False
Archaea	Fungi	0.009103	1.0	False
Archaea	Porifera	0.132668	1.0	False
Archaea	Ctenophora	0.321873	1.0	False
Archaea	Placozoa	0.244871	1.0	False
Archaea	Xenacoelomorpha	0.166456	1.0	False
