phylum	n_species	total_lcr	total_terminal	pct_terminal	pooled_OR	pooled_pvalue	pooled_sig	single_species	pooled_pvalue_holm	pooled_sig_holm	pooled_sig_corrected	sig_stars	provisional
Bacteria	92	2906	801	27.56	3.431	0.0	True	False	0.0	True	True	***	False
Archaea	27	513	132	25.73	3.132	0.0	True	False	0.0	True	True	***	False
Oomycota	26	20801	4406	21.18	2.419	0.0	True	False	0.0	True	True	***	False
Bacillariophyta	5	8791	1542	17.54	1.914	0.0	True	False	0.0	True	True	***	False
Apicomplexa	43	55120	6820	12.37	1.271	0.0	True	False	0.0	True	True	***	False
Ciliophora	7	3201	773	24.15	2.865	0.0	True	False	0.0	True	True	***	False
Perkinsozoa	1	1042	229	21.98	2.538	0.0	True	True	0.0	True	True	***	False
Rhizaria	3	12846	2396	18.65	2.064	0.0	True	False	0.0	True	True	***	False
Euglenozoa	16	15881	2902	18.27	2.012	0.0	True	False	0.0	True	True	***	False
Metamonada	6	1449	270	18.63	2.074	0.0	True	False	0.0	True	True	***	False
Amoebozoa	10	17721	2992	16.88	1.828	0.0	True	False	0.0	True	True	***	False
Viridiplantae	132	370556	87451	23.6	2.78	0.0	True	False	0.0	True	True	***	False
Chlorophyta	6	11029	1361	12.34	1.268	0.0	True	False	0.0	True	True	***	False
Rhodophyta	3	990	131	13.23	1.373	0.014756	True	False	0.044268	True	True	*	False
Haptophyta	1	2821	370	13.12	1.359	0.000146	True	True	0.00073	True	True	***	False
Cryptophyta	3	1806	355	19.66	2.209	0.0	True	False	0.0	True	True	***	False
Protist	12	20480	3506	17.12	1.859	0.0	True	False	0.0	True	True	***	False
Fungi	11	5993	1045	17.44	1.901	0.0	True	False	0.0	True	True	***	False
Porifera	4	5089	901	17.7	1.94	0.0	True	False	0.0	True	True	***	False
Ctenophora	2	1109	234	21.1	2.426	0.0	True	False	0.0	True	True	***	False
Placozoa	2	579	117	20.21	2.315	1e-06	True	False	7e-06	True	True	***	False
Xenacoelomorpha	3	2125	430	20.24	2.288	0.0	True	False	0.0	True	True	***	False
Cnidaria	13	11181	2177	19.47	2.176	0.0	True	False	0.0	True	True	***	False
Platyhelminthes	7	5425	794	14.64	1.544	0.0	True	False	0.0	True	True	***	False
Rotifera	3	10854	1776	16.36	1.761	0.0	True	False	0.0	True	True	***	False
Nemertea	2	1791	365	20.38	2.304	0.0	True	False	0.0	True	True	***	False
Annelida	5	6872	1141	16.6	1.792	0.0	True	False	0.0	True	True	***	False
Brachiopoda	1	1250	265	21.2	2.421	0.0	True	True	0.0	True	True	***	False
Mollusca	23	24710	4627	18.73	2.074	0.0	True	False	0.0	True	True	***	False
Acanthocephala	1	128	21	16.41	1.881	0.070535	False	True	0.091264	False	False	ns	True
Nematomorpha	1	181	30	16.57	1.788	0.045632	True	True	0.091264	False	False	ns	True
Nematoda	15	12578	2398	19.07	2.121	0.0	True	False	0.0	True	True	***	False
Priapulida	1	1273	178	13.98	1.466	0.001145	True	True	0.00458	True	True	**	False
Tardigrada	2	1843	350	18.99	2.112	0.0	True	False	0.0	True	True	***	False
Collembola	2	2918	593	20.32	2.302	0.0	True	False	0.0	True	True	***	False
Crustacea	21	39253	7097	18.08	1.986	0.0	True	False	0.0	True	True	***	False
Myriapoda	3	2201	379	17.22	1.872	0.0	True	False	0.0	True	True	***	False
Chelicerata	28	28033	5059	18.05	1.982	0.0	True	False	0.0	True	True	***	False
Insecta	218	280687	47212	16.82	1.82	0.0	True	False	0.0	True	True	***	False
Echinodermata	7	6356	1245	19.59	2.194	0.0	True	False	0.0	True	True	***	False
Hemichordata	2	2102	377	17.94	1.968	0.0	True	False	0.0	True	True	***	False
Chordata	1	1121	177	15.79	1.688	2.7e-05	True	True	0.000162	True	True	***	False
Heterolobosea	1	967	300	31.02	4.076	0.0	True	True	0.0	True	True	***	False
