species_key	display_name	phylum	n_proteins_with_lcr	n_proteins_with_terminal_lcr	pct_proteins_terminal	binomial_p	significant
acanthamoeba_castellanii	Acanthamoeba castellanii	Amoebozoa	1802	343	19.03	0.0	True
achlya_hypogyna_gca_002081595	Achlya hypogyna str. ATCC 48635	Oomycota	456	100	21.93	0.0	True
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	Bacteria	32	10	31.25	0.000809	True
acromyrmex_echinatior_gca000204515v1rs	Acromyrmex echinatior	Insecta	788	147	18.65	0.0	True
acropora_millepora_gca013753865v1	Acropora millepora	Cnidaria	828	173	20.89	0.0	True
actinia_equina_gca011057435	Actinia equina	Cnidaria	2140	400	18.69	0.0	True
actinia_tenebrosa_gca009602425v1	Actinia tenebrosa	Cnidaria	773	169	21.86	0.0	True
actinidia_chinensis	Actinidia chinensis	Viridiplantae	1594	419	26.29	0.0	True
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	Bacteria	9	6	66.67	6.4e-05	True
acyrthosiphon_pisum_gca005508785v2rs	Acyrthosiphon pisum	Insecta	969	208	21.47	0.0	True
adelges_cooleyi_gca023614345v1rs	Adelges cooleyi	Insecta	717	166	23.15	0.0	True
adiantum_capillus_veneris	Adiantum capillus-veneris	Viridiplantae	1054	248	23.53	0.0	True
adineta_vaga	Adineta vaga	Rotifera	3514	608	17.3	0.0	True
aedes_aegypti_lvpagwg	Aedes aegypti	Insecta	1068	227	21.25	0.0	True
aedes_albopictus_gca035046485v1rs	Aedes albopictus	Insecta	1573	343	21.81	0.0	True
aegilops_tauschii	Aegilops tauschii	Viridiplantae	2153	559	25.96	0.0	True
aegilops_umbellulata	Aegilops umbellulata	Viridiplantae	2209	706	31.96	0.0	True
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Bacteria	53	17	32.08	9e-06	True
aeropyrum_pernix_k1_gca_000011125	Aeropyrum pernix K1	Archaea	22	7	31.82	0.00439	True
aethina_tumida_gca024364675v1rs	Aethina tumida	Insecta	547	111	20.29	0.0	True
agrilus_planipennis_gca000699045v2	Agrilus planipennis	Insecta	561	123	21.93	0.0	True
agrobacterium_fabrum_str_c58_gca_000092025	Agrobacterium fabrum str. C58	Bacteria	40	11	27.5	0.00147	True
aliivibrio_fischeri_es114_gca_000011805	Aliivibrio fischeri ES114	Bacteria	37	8	21.62	0.027441	True
amblyomma_americanum_gca030143305v2gb	Amblyomma americanum	Chelicerata	1589	211	13.28	1.7e-05	True
amblyteles_armatorius_gca933228735v1	Amblyteles armatorius	Insecta	719	130	18.08	0.0	True
amborella_trichopoda	Amborella trichopoda	Viridiplantae	783	184	23.5	0.0	True
amphibalanus_amphitrite_gca019059575v1	Amphibalanus amphitrite	Crustacea	2245	456	20.31	0.0	True
amphimedon_queenslandica_gca000090795v2rs	Amphimedon queenslandica	Porifera	1136	272	23.94	0.0	True
amyelois_transitella_gca032362555v1rs	Amyelois transitella	Insecta	526	117	22.24	0.0	True
ananas_comosus	Ananas comosus	Viridiplantae	3236	842	26.02	0.0	True
anaplasma_phagocytophilum_str_hz_gca_000013125	Anaplasma phagocytophilum str. HZ	Bacteria	5	1	20.0	0.40951	False
anastrepha_ludens_gca028408465v1rs	Anastrepha ludens	Insecta	1189	233	19.6	0.0	True
anastrepha_obliqua_gca027943255v1rs	Anastrepha obliqua	Insecta	1194	211	17.67	0.0	True
ancistrocerus_nigricornis_gca916049575v1	Ancistrocerus nigricornis	Insecta	592	95	16.05	3e-06	True
angomonas_deanei_gca_000442575	Angomonas deanei	Euglenozoa	1665	519	31.17	0.0	True
anneissia_japonica_gca011630105v1	Anneissia japonica	Echinodermata	641	135	21.06	0.0	True
anopheles_albimanus_gca013758885v1rs	Anopheles albimanus	Insecta	1734	354	20.42	0.0	True
anopheles_arabiensis	Anopheles arabiensis	Insecta	1683	333	19.79	0.0	True
anopheles_atroparvus_gca914969975	Anopheles atroparvus	Insecta	1453	277	19.06	0.0	True
anopheles_christyi	Anopheles christyi	Insecta	1203	218	18.12	0.0	True
anopheles_coluzzii_gca943734685v1rs	Anopheles coluzzii	Insecta	1676	348	20.76	0.0	True
anopheles_culicifacies	Anopheles culicifacies	Insecta	1350	194	14.37	0.0	True
anopheles_darlingi_gca943734745v1rs	Anopheles darlingi	Insecta	1785	380	21.29	0.0	True
anopheles_dirus	Anopheles dirus	Insecta	1715	322	18.78	0.0	True
anopheles_epiroticus	Anopheles epiroticus	Insecta	1412	264	18.7	0.0	True
anopheles_farauti	Anopheles farauti	Insecta	1968	334	16.97	0.0	True
anopheles_funestus_gca943734845v1rs	Anopheles funestus	Insecta	1236	241	19.5	0.0	True
anopheles_gambiae	Anopheles gambiae	Insecta	1678	337	20.08	0.0	True
anopheles_maculatus	Anopheles maculatus	Insecta	1358	179	13.18	0.000102	True
anopheles_melas	Anopheles melas	Insecta	2071	378	18.25	0.0	True
anopheles_merus	Anopheles merus	Insecta	1875	368	19.63	0.0	True
anopheles_minimus	Anopheles minimus	Insecta	1276	209	16.38	0.0	True
anopheles_quadriannulatus_gca000349065v1vb	Anopheles quadriannulatus	Insecta	1722	321	18.64	0.0	True
anopheles_sinensis	Anopheles sinensis	Insecta	1417	230	16.23	0.0	True
anopheles_stephensi_indian	Anopheles stephensi	Insecta	1531	290	18.94	0.0	True
anoplophora_glabripennis	Anoplophora glabripennis	Insecta	463	89	19.22	0.0	True
anthonomus_grandis_gca022605725v3rs	Anthonomus grandis grandis	Insecta	511	111	21.72	0.0	True
aphanomyces_astaci_gca000520075	Aphanomyces astaci	Oomycota	869	217	24.97	0.0	True
aphanomyces_invadans_gca000520115	Aphanomyces invadans	Oomycota	457	127	27.79	0.0	True
aphidius_gifuensis_gca014905175v1	Aphidius gifuensis	Insecta	1425	233	16.35	0.0	True
apis_dorsata_gca000469605v1rs	Apis dorsata	Insecta	900	118	13.11	0.001605	True
apis_florea_gca000184785v2rs	Apis florea	Insecta	746	129	17.29	0.0	True
apis_mellifera	Apis mellifera	Insecta	753	130	17.26	0.0	True
aplysia_californica_gca000002075v2	Aplysia californica	Mollusca	1669	298	17.86	0.0	True
aquifex_aeolicus	Aquifex aeolicus	Bacteria	15	7	46.67	0.000311	True
arabidopsis_halleri	Arabidopsis halleri	Viridiplantae	1744	397	22.76	0.0	True
arabidopsis_lyrata	Arabidopsis lyrata	Viridiplantae	1624	378	23.28	0.0	True
arabidopsis_thaliana	Arabidopsis thaliana	Viridiplantae	1616	398	24.63	0.0	True
arabis_alpina	Arabis alpina	Viridiplantae	1477	359	24.31	0.0	True
arachis_hypogaea	Arachis hypogaea	Viridiplantae	4924	1171	23.78	0.0	True
archaeoglobus_fulgidus	Archaeoglobus fulgidus	Archaea	27	9	33.33	0.000872	True
