param_set	phylum	n_total_lcr	n_terminal	pct_terminal	pooled_OR	pooled_p	significant
A_current	Bacteria	2906	801	27.56	3.431	0.0	True
A_current	Archaea	513	132	25.73	3.132	0.0	True
A_current	Oomycota	20801	4406	21.18	2.419	0.0	True
A_current	Bacillariophyta	8791	1542	17.54	1.914	0.0	True
A_current	Apicomplexa	55120	6820	12.37	1.271	0.0	True
A_current	Ciliophora	3201	773	24.15	2.865	0.0	True
A_current	Perkinsozoa	1042	229	21.98	2.538	0.0	True
A_current	Rhizaria	12846	2396	18.65	2.064	0.0	True
A_current	Euglenozoa	15881	2902	18.27	2.012	0.0	True
A_current	Metamonada	1449	270	18.63	2.074	0.0	True
A_current	Amoebozoa	17721	2992	16.88	1.828	0.0	True
A_current	Viridiplantae	370556	87451	23.6	2.78	0.0	True
A_current	Chlorophyta	11029	1361	12.34	1.268	0.0	True
A_current	Rhodophyta	990	131	13.23	1.373	0.014756	True
A_current	Haptophyta	2821	370	13.12	1.359	0.000146	True
A_current	Cryptophyta	1806	355	19.66	2.209	0.0	True
A_current	Protist	20480	3506	17.12	1.859	0.0	True
A_current	Fungi	5993	1045	17.44	1.901	0.0	True
A_current	Porifera	5089	901	17.7	1.94	0.0	True
A_current	Ctenophora	1109	234	21.1	2.426	0.0	True
A_current	Placozoa	579	117	20.21	2.315	1e-06	True
A_current	Xenacoelomorpha	2125	430	20.24	2.288	0.0	True
A_current	Cnidaria	11181	2177	19.47	2.176	0.0	True
A_current	Platyhelminthes	5425	794	14.64	1.544	0.0	True
A_current	Rotifera	10854	1776	16.36	1.761	0.0	True
A_current	Nemertea	1791	365	20.38	2.304	0.0	True
A_current	Annelida	6872	1141	16.6	1.792	0.0	True
A_current	Brachiopoda	1250	265	21.2	2.421	0.0	True
A_current	Mollusca	24710	4627	18.73	2.074	0.0	True
A_current	Acanthocephala	128	21	16.41	1.881	0.070535	False
A_current	Nematomorpha	181	30	16.57	1.788	0.045632	True
A_current	Nematoda	12578	2398	19.07	2.121	0.0	True
A_current	Priapulida	1273	178	13.98	1.466	0.001145	True
A_current	Tardigrada	1843	350	18.99	2.112	0.0	True
A_current	Collembola	2918	593	20.32	2.302	0.0	True
A_current	Crustacea	39253	7097	18.08	1.986	0.0	True
A_current	Myriapoda	2201	379	17.22	1.872	0.0	True
A_current	Chelicerata	28033	5059	18.05	1.982	0.0	True
A_current	Insecta	280687	47212	16.82	1.82	0.0	True
A_current	Echinodermata	6356	1245	19.59	2.194	0.0	True
A_current	Hemichordata	2102	377	17.94	1.968	0.0	True
A_current	Chordata	1121	177	15.79	1.688	2.7e-05	True
A_current	Heterolobosea	967	300	31.02	4.076	0.0	True
B_stringent	Bacteria	580	198	34.14	4.665	0.0	True
B_stringent	Archaea	131	38	29.01	3.677	8.1e-05	True
B_stringent	Oomycota	6459	1276	19.76	2.219	0.0	True
B_stringent	Bacillariophyta	4101	660	16.09	1.726	0.0	True
B_stringent	Apicomplexa	32913	4033	12.25	1.257	0.0	True
B_stringent	Ciliophora	1196	242	20.23	2.294	0.0	True
B_stringent	Perkinsozoa	448	93	20.76	2.399	4e-06	True
B_stringent	Rhizaria	7680	1556	20.26	2.287	0.0	True
B_stringent	Euglenozoa	6824	1076	15.77	1.686	0.0	True
B_stringent	Metamonada	588	70	11.9	1.233	0.15391	False
B_stringent	Amoebozoa	10076	1592	15.8	1.69	0.0	True
B_stringent	Viridiplantae	155716	36872	23.68	2.792	0.0	True
B_stringent	Chlorophyta	5213	604	11.59	1.18	0.004856	True
B_stringent	Rhodophyta	538	61	11.34	1.168	0.247408	False
B_stringent	Haptophyta	1161	128	11.02	1.115	0.230498	False
B_stringent	Cryptophyta	978	188	19.22	2.159	0.0	True
B_stringent	Protist	10596	1651	15.58	1.662	0.0	True
B_stringent	Fungi	2602	422	16.22	1.743	0.0	True
B_stringent	Porifera	2338	352	15.06	1.6	0.0	True
B_stringent	Ctenophora	409	65	15.89	1.738	0.006145	True
B_stringent	Placozoa	181	33	18.23	2.007	0.017721	True
B_stringent	Xenacoelomorpha	824	147	17.84	1.962	2e-06	True
B_stringent	Cnidaria	3788	680	17.95	1.973	0.0	True
B_stringent	Platyhelminthes	2387	330	13.82	1.448	2.4e-05	True
B_stringent	Rotifera	5460	845	15.48	1.648	0.0	True
B_stringent	Nemertea	772	139	18.01	1.979	4e-06	True
B_stringent	Annelida	2838	458	16.14	1.737	0.0	True
B_stringent	Brachiopoda	435	86	19.77	2.241	2.9e-05	True
B_stringent	Mollusca	9119	1509	16.55	1.786	0.0	True
B_stringent	Acanthocephala	30	5	16.67	1.8	0.353235	False
B_stringent	Nematomorpha	46	4	8.7	0.976	0.655483	False
B_stringent	Nematoda	5129	857	16.71	1.809	0.0	True
B_stringent	Priapulida	669	84	12.56	1.31	0.071574	False
B_stringent	Tardigrada	684	128	18.71	2.082	2e-06	True
B_stringent	Collembola	1069	200	18.71	2.089	0.0	True
B_stringent	Crustacea	18335	2939	16.03	1.718	0.0	True
B_stringent	Myriapoda	883	132	14.95	1.586	0.000976	True
B_stringent	Chelicerata	12016	2097	17.45	1.904	0.0	True
B_stringent	Insecta	131669	20047	15.23	1.616	0.0	True
B_stringent	Echinodermata	2279	427	18.74	2.083	0.0	True
B_stringent	Hemichordata	724	146	20.17	2.284	0.0	True
B_stringent	Chordata	509	57	11.2	1.155	0.273527	False
