species_key	display_name	phylum	fa_path	domain	taxon_id
acanthamoeba_castellanii	Acanthamoeba castellanii	Amoebozoa	/Users/kchan/lcr_invertebrate_study/data/proteomes/acanthamoeba_castellanii.longest.fa	Non-metazoan Eukaryota	1257118
acanthaster_planci_gca001949145v1	Acanthaster planci	Echinodermata	/Users/kchan/lcr_invertebrate_study/data/proteomes/acanthaster_planci_gca001949145v1.longest.fa	Metazoa	133434
achlya_hypogyna_gca_002081595	Achlya hypogyna str. ATCC 48635	Oomycota	/Users/kchan/lcr_invertebrate_study/data/proteomes/achlya_hypogyna_gca_002081595.longest.fa	Non-metazoan Eukaryota	1202772
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	Bacteria	/Users/kchan/lcr_invertebrate_study/data/proteomes/acinetobacter_baumannii_aye_gca_000069245.longest.fa	Bacteria	509173
acromyrmex_echinatior_gca000204515v1rs	Acromyrmex echinatior	Insecta	/Users/kchan/lcr_invertebrate_study/data/proteomes/acromyrmex_echinatior_gca000204515v1rs.longest.fa	Metazoa	103372
acropora_millepora_gca013753865v1	Acropora millepora	Cnidaria	/Users/kchan/lcr_invertebrate_study/data/proteomes/acropora_millepora_gca013753865v1.longest.fa	Metazoa	45264
actinia_equina_gca011057435	Actinia equina	Cnidaria	/Users/kchan/lcr_invertebrate_study/data/proteomes/actinia_equina_gca011057435.longest.fa	Metazoa	6106
actinia_tenebrosa_gca009602425v1	Actinia tenebrosa	Cnidaria	/Users/kchan/lcr_invertebrate_study/data/proteomes/actinia_tenebrosa_gca009602425v1.longest.fa	Metazoa	6105
actinidia_chinensis	Actinidia chinensis	Viridiplantae	/Users/kchan/lcr_invertebrate_study/data/proteomes/actinidia_chinensis.longest.fa	Non-metazoan Eukaryota	1590841
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	Bacteria	/Users/kchan/lcr_invertebrate_study/data/proteomes/actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885.longest.fa	Bacteria	416269
