phylum	pct_terminal_singleton	odds_ratio_singleton	pvalue_singleton	sig_singleton	pct_terminal_multi	odds_ratio_multi	pvalue_multi	sig_multi
Bacteria	27.36	3.396	0.0	True	42.5	6.652	0.000924	True
Archaea	25.86	3.167	0.0	True	22.22	4.571	0.186636	False
Oomycota	21.44	2.456	0.0	True	18.68	2.074	0.0	True
Bacillariophyta	18.64	2.063	0.0	True	14.61	1.543	1e-06	True
Apicomplexa	12.38	1.272	0.0	True	12.37	1.27	0.0	True
Ciliophora	24.21	2.878	0.0	True	23.03	2.817	0.00046	True
Perkinsozoa	22.57	2.636	0.0	True	18.37	2.121	0.022382	True
Rhizaria	21.78	2.507	0.0	True	13.79	1.44	0.0	True
Euglenozoa	19.89	2.235	0.0	True	13.9	1.456	0.0	True
Metamonada	18.63	2.063	0.0	True	18.75	2.205	0.050627	False
Heterolobosea	31.37	4.151	0.0	True	28.57	3.891	0.00012	True
Amoebozoa	18.31	2.018	0.0	True	14.78	1.562	0.0	True
Viridiplantae	24.23	2.878	0.0	True	19.74	2.213	0.0	True
Chlorophyta	13.7	1.43	0.0	True	9.92	0.991	0.561037	False
Rhodophyta	12.96	1.342	0.030618	True	15.25	1.735	0.121722	False
Haptophyta	13.52	1.407	8.6e-05	True	10.73	1.082	0.409451	False
Cryptophyta	20.51	2.33	0.0	True	17.01	1.844	0.001558	True
Protist	17.91	1.964	0.0	True	15.49	1.651	0.0	True
Fungi	17.84	1.956	0.0	True	15.62	1.679	4.4e-05	True
Porifera	18.69	2.073	0.0	True	13.26	1.376	0.017384	True
Ctenophora	21.79	2.516	0.0	True	13.68	1.497	0.25701	False
Placozoa	19.67	2.24	3e-06	True	30.0	3.857	0.052082	False
Xenacoelomorpha	21.26	2.435	0.0	True	13.75	1.434	0.102413	False
Cnidaria	19.94	2.241	0.0	True	15.87	1.71	5e-06	True
Platyhelminthes	15.26	1.62	0.0	True	12.73	1.318	0.014208	True
Rotifera	17.29	1.883	0.0	True	12.64	1.307	0.003156	True
Nemertea	21.26	2.44	0.0	True	14.53	1.552	0.081071	False
Annelida	17.4	1.896	0.0	True	13.89	1.453	0.000467	True
Brachiopoda	21.63	2.492	0.0	True	17.65	2.011	0.039935	True
Mollusca	19.75	2.216	0.0	True	11.9	1.217	0.007631	True
Acanthocephala	16.41	1.881	0.070535	False				
Nematomorpha	17.75	2.05	0.020165	True	0.0	0.0	1.0	False
Nematoda	19.81	2.224	0.0	True	14.32	1.507	6.4e-05	True
Priapulida	14.06	1.472	0.003066	True	13.69	1.44	0.114737	False
Tardigrada	19.7	2.22	0.0	True	14.1	1.499	0.102791	False
Collembola	20.86	2.381	0.0	True	18.07	2.017	4.9e-05	True
Crustacea	19.0	2.112	0.0	True	15.46	1.646	0.0	True
Myriapoda	17.42	1.904	0.0	True	16.12	1.753	0.010974	True
Chelicerata	19.21	2.14	0.0	True	13.9	1.454	0.0	True
Insecta	18.06	1.984	0.0	True	14.28	1.499	0.0	True
Echinodermata	19.61	2.195	0.0	True	19.42	2.186	0.0	True
Hemichordata	17.96	1.974	0.0	True	17.68	2.012	0.014376	True
Chordata	15.16	1.622	0.000208	True	22.83	2.695	0.014598	True
