group	quartile	n_lcr	n_terminal	pct_terminal	odds_ratio	pvalue	sig
ALL	Q1	252150	34964	13.87	1.449	0.0	True
ALL	Q2	251064	55654	22.17	2.563	0.0	True
ALL	Q3	250443	55945	22.34	2.589	0.0	True
ALL	Q4	250915	49162	19.59	2.193	0.0	True
Bacteria	Q1	1186	251	21.16	2.427	0.0	True
Bacteria	Q2	1074	327	30.45	3.952	0.0	True
Bacteria	Q3	480	176	36.67	5.211	0.0	True
Bacteria	Q4	166	47	28.31	3.678	1.1e-05	True
Archaea	Q1	243	50	20.58	2.353	0.000784	True
Archaea	Q2	153	41	26.8	3.343	9.9e-05	True
Archaea	Q3	75	28	37.33	5.702	4.7e-05	True
Archaea	Q4	42	13	30.95	4.147	0.015879	True
Oomycota	Q1	5162	920	17.82	1.952	0.0	True
Oomycota	Q2	5503	1263	22.95	2.682	0.0	True
Oomycota	Q3	5610	1255	22.37	2.594	0.0	True
Oomycota	Q4	4526	968	21.39	2.452	0.0	True
Bacillariophyta	Q1	2075	291	14.02	1.471	3.6e-05	True
Bacillariophyta	Q2	2611	480	18.38	2.027	0.0	True
Bacillariophyta	Q3	2609	461	17.67	1.938	0.0	True
Bacillariophyta	Q4	1496	310	20.72	2.361	0.0	True
Apicomplexa	Q1	17079	988	5.78	0.553	1.0	False
Apicomplexa	Q2	11366	1410	12.41	1.275	0.0	True
Apicomplexa	Q3	11758	1853	15.76	1.685	0.0	True
Apicomplexa	Q4	14917	2569	17.22	1.873	0.0	True
Ciliophora	Q1	782	232	29.67	3.802	0.0	True
Ciliophora	Q2	817	226	27.66	3.47	0.0	True
Ciliophora	Q3	802	175	21.82	2.515	0.0	True
Ciliophora	Q4	800	140	17.5	1.909	8e-06	True
Perkinsozoa	Q1	450	77	17.11	1.858	0.001217	True
Perkinsozoa	Q2	240	59	24.58	2.934	1.7e-05	True
Perkinsozoa	Q3	220	58	26.36	3.222	6e-06	True
Perkinsozoa	Q4	132	35	26.52	3.275	0.00038	True
Rhizaria	Q1	4056	960	23.67	2.795	0.0	True
Rhizaria	Q2	3564	788	22.11	2.557	0.0	True
Rhizaria	Q3	3024	465	15.38	1.637	0.0	True
Rhizaria	Q4	2202	183	8.31	0.816	0.976802	False
Euglenozoa	Q1	3386	668	19.73	2.216	0.0	True
Euglenozoa	Q2	3696	787	21.29	2.439	0.0	True
Euglenozoa	Q3	4037	723	17.91	1.967	0.0	True
Euglenozoa	Q4	4762	724	15.2	1.614	0.0	True
Metamonada	Q1	471	70	14.86	1.571	0.015167	True
Metamonada	Q2	339	75	22.12	2.626	7e-06	True
Metamonada	Q3	310	62	20.0	2.25	0.00034	True
Metamonada	Q4	329	63	19.15	2.191	0.000427	True
Heterolobosea	Q1	195	51	26.15	3.262	1.9e-05	True
Heterolobosea	Q2	274	88	32.12	4.311	0.0	True
Heterolobosea	Q3	291	91	31.27	4.095	0.0	True
Heterolobosea	Q4	207	70	33.82	4.752	0.0	True
Amoebozoa	Q1	2780	393	14.14	1.482	1e-06	True
Amoebozoa	Q2	3764	676	17.96	1.972	0.0	True
Amoebozoa	Q3	5470	971	17.75	1.942	0.0	True
Amoebozoa	Q4	5707	952	16.68	1.804	0.0	True
Viridiplantae	Q1	125110	17765	14.2	1.489	0.0	True
Viridiplantae	Q2	116258	30620	26.34	3.218	0.0	True
Viridiplantae	Q3	85518	26675	31.19	4.08	0.0	True
Viridiplantae	Q4	43670	12391	28.37	3.565	0.0	True
Chlorophyta	Q1	1319	204	15.47	1.658	1.2e-05	True
Chlorophyta	Q2	1919	309	16.1	1.735	0.0	True
Chlorophyta	Q3	2783	357	12.83	1.325	0.000506	True
Chlorophyta	Q4	5008	491	9.8	0.98	0.632296	False
Rhodophyta	Q1	218	25	11.47	1.209	0.326124	False
Rhodophyta	Q2	254	43	16.93	1.859	0.013687	True
Rhodophyta	Q3	285	37	12.98	1.364	0.149325	False
Rhodophyta	Q4	233	26	11.16	1.141	0.387551	False
Haptophyta	Q1	967	110	11.38	1.163	0.170964	False
Haptophyta	Q2	845	121	14.32	1.512	0.003696	True
Haptophyta	Q3	664	102	15.36	1.642	0.001944	True
Haptophyta	Q4	345	37	10.72	1.095	0.406156	False
Cryptophyta	Q1	486	64	13.17	1.381	0.067267	False
Cryptophyta	Q2	445	103	23.15	2.738	0.0	True
Cryptophyta	Q3	472	110	23.31	2.741	0.0	True
Cryptophyta	Q4	403	78	19.35	2.172	0.000109	True
Protist	Q1	3107	418	13.45	1.402	1.2e-05	True
Protist	Q2	3731	728	19.51	2.182	0.0	True
Protist	Q3	5242	926	17.67	1.931	0.0	True
Protist	Q4	8400	1434	17.07	1.853	0.0	True
Fungi	Q1	1127	163	14.46	1.531	0.000647	True
Fungi	Q2	1636	254	15.53	1.66	1e-06	True
Fungi	Q3	1894	345	18.22	2.008	0.0	True
Fungi	Q4	1336	283	21.18	2.429	0.0	True
Porifera	Q1	1005	146	14.53	1.536	0.001102	True
Porifera	Q2	1142	211	18.48	2.042	0.0	True
Porifera	Q3	1270	267	21.02	2.396	0.0	True
Porifera	Q4	1672	277	16.57	1.788	0.0	True
Ctenophora	Q1	266	49	18.42	2.076	0.003082	True
Ctenophora	Q2	271	71	26.2	3.195	1e-06	True
Ctenophora	Q3	279	65	23.3	2.824	1.1e-05	True
Ctenophora	Q4	293	49	16.72	1.821	0.010641	True
Placozoa	Q1	146	29	19.86	2.319	0.010639	True
Placozoa	Q2	144	29	20.14	2.324	0.010571	True
Placozoa	Q3	154	41	26.62	3.338	0.0001	True
Placozoa	Q4	135	18	13.33	1.432	0.229376	False
Xenacoelomorpha	Q1	445	77	17.3	1.902	0.000871	True
Xenacoelomorpha	Q2	475	123	25.89	3.175	0.0	True
Xenacoelomorpha	Q3	511	109	21.33	2.44	0.0	True
Xenacoelomorpha	Q4	694	121	17.44	1.91	3.3e-05	True
Cnidaria	Q1	3120	498	15.96	1.709	0.0	True
Cnidaria	Q2	2777	600	21.61	2.486	0.0	True
Cnidaria	Q3	2399	533	22.22	2.58	0.0	True
Cnidaria	Q4	2885	546	18.93	2.104	0.0	True
Platyhelminthes	Q1	1000	134	13.4	1.393	0.010767	True
Platyhelminthes	Q2	940	194	20.64	2.34	0.0	True
Platyhelminthes	Q3	1382	202	14.62	1.542	0.000131	True
Platyhelminthes	Q4	2103	264	12.55	1.293	0.004927	True
Rotifera	Q1	3375	476	14.1	1.48	0.0	True
Rotifera	Q2	2895	514	17.75	1.946	0.0	True
Rotifera	Q3	2716	475	17.49	1.912	0.0	True
Rotifera	Q4	1868	311	16.65	1.805	0.0	True
Nemertea	Q1	310	54	17.42	1.898	0.004946	True
Nemertea	Q2	398	90	22.61	2.682	1e-06	True
Nemertea	Q3	475	107	22.53	2.642	0.0	True
Nemertea	Q4	608	114	18.75	2.104	7e-06	True
Annelida	Q1	1692	252	14.89	1.576	1e-05	True
Annelida	Q2	1727	313	18.12	2.0	0.0	True
Annelida	Q3	1782	320	17.96	1.971	0.0	True
Annelida	Q4	1671	256	15.32	1.628	2e-06	True
Brachiopoda	Q1	238	54	22.69	2.731	8.7e-05	True
Brachiopoda	Q2	299	62	20.74	2.427	0.000127	True
Brachiopoda	Q3	300	67	22.33	2.588	2.8e-05	True
Brachiopoda	Q4	413	82	19.85	2.242	4.4e-05	True
Mollusca	Q1	4885	811	16.6	1.793	0.0	True
Mollusca	Q2	6072	1290	21.25	2.428	0.0	True
Mollusca	Q3	6341	1266	19.97	2.245	0.0	True
Mollusca	Q4	7412	1260	17.0	1.844	0.0	True
Acanthocephala	Q1	47	8	17.02	2.154	0.187749	False
Acanthocephala	Q2	31	5	16.13	1.731	0.372483	False
Acanthocephala	Q3	28	3	10.71	1.5	0.517708	False
Acanthocephala	Q4	22	5	22.73	2.794	0.225532	False
Nematomorpha	Q1	21	5	23.81	2.812	0.22542	False
Nematomorpha	Q2	26	5	19.23	2.738	0.225848	False
Nematomorpha	Q3	57	14	24.56	3.321	0.023317	True
Nematomorpha	Q4	77	6	7.79	0.833	0.726552	False
Nematoda	Q1	5027	629	12.51	1.289	3.5e-05	True
Nematoda	Q2	2851	714	25.04	3.007	0.0	True
Nematoda	Q3	2511	602	23.97	2.838	0.0	True
Nematoda	Q4	2189	453	20.69	2.358	0.0	True
Priapulida	Q1	301	39	12.96	1.34	0.1565	False
Priapulida	Q2	320	54	16.88	1.827	0.007287	True
Priapulida	Q3	293	38	12.97	1.351	0.152965	False
Priapulida	Q4	359	47	13.09	1.39	0.100618	False
Tardigrada	Q1	463	53	11.45	1.169	0.265502	False
Tardigrada	Q2	538	103	19.14	2.162	1e-05	True
Tardigrada	Q3	480	108	22.5	2.613	0.0	True
Tardigrada	Q4	362	86	23.76	2.813	0.0	True
Collembola	Q1	682	132	19.35	2.164	1e-06	True
Collembola	Q2	724	152	20.99	2.403	0.0	True
Collembola	Q3	790	165	20.89	2.376	0.0	True
Collembola	Q4	722	144	19.94	2.246	0.0	True
Crustacea	Q1	8091	1076	13.3	1.38	0.0	True
Crustacea	Q2	8766	1600	18.25	2.011	0.0	True
Crustacea	Q3	10363	1908	18.41	2.031	0.0	True
Crustacea	Q4	12033	2513	20.88	2.376	0.0	True
Myriapoda	Q1	464	53	11.42	1.169	0.265521	False
Myriapoda	Q2	513	93	18.13	2.002	0.000111	True
Myriapoda	Q3	582	111	19.07	2.125	7e-06	True
Myriapoda	Q4	642	122	19.0	2.115	3e-06	True
Chelicerata	Q1	6616	977	14.77	1.561	0.0	True
Chelicerata	Q2	6639	1311	19.75	2.217	0.0	True
Chelicerata	Q3	7373	1435	19.46	2.176	0.0	True
Chelicerata	Q4	7405	1336	18.04	1.982	0.0	True
Insecta	Q1	41720	5397	12.94	1.337	0.0	True
Insecta	Q2	52622	9207	17.5	1.909	0.0	True
Insecta	Q3	76449	12799	16.74	1.81	0.0	True
Insecta	Q4	109896	19809	18.03	1.979	0.0	True
Echinodermata	Q1	1111	178	16.02	1.717	1.5e-05	True
Echinodermata	Q2	1567	344	21.95	2.542	0.0	True
Echinodermata	Q3	1642	314	19.12	2.129	0.0	True
Echinodermata	Q4	2036	409	20.09	2.269	0.0	True
Hemichordata	Q1	463	71	15.33	1.638	0.008952	True
Hemichordata	Q2	573	120	20.94	2.393	0.0	True
Hemichordata	Q3	505	93	18.42	2.05	7.2e-05	True
Hemichordata	Q4	561	93	16.58	1.788	0.000768	True
Chordata	Q1	463	66	14.25	1.503	0.02834	True
Chordata	Q2	265	51	19.25	2.182	0.001539	True
Chordata	Q3	217	33	15.21	1.665	0.056506	False
Chordata	Q4	176	27	15.34	1.684	0.075953	False
