phylum	n_terminal	n_internal	mean_purity_terminal	mean_purity_internal	delta_purity	mwu_stat	pvalue	sig
Bacteria	801	2105	0.7896	0.7899	-0.0003	822871.0	0.844636	False
Archaea	132	381	0.7903	0.8007	-0.0104	24212.0	0.739782	False
Oomycota	4406	16395	0.8191	0.8327	-0.0136	33843922.0	1.0	False
Bacillariophyta	1542	7249	0.8327	0.8317	0.0009	5578702.0	0.545521	False
Apicomplexa	6820	48300	0.8572	0.8501	0.0071	170745466.0	0.0	True
Ciliophora	773	2428	0.8245	0.832	-0.0074	913930.0	0.8659	False
Perkinsozoa	229	813	0.8405	0.8434	-0.0029	90566.0	0.737139	False
Rhizaria	2396	10450	0.8768	0.8505	0.0263	14247168.0	0.0	True
Euglenozoa	2902	12979	0.8637	0.8551	0.0086	19652960.0	9.1e-05	True
Metamonada	270	1179	0.7945	0.8365	-0.042	123608.0	1.0	False
Heterolobosea	300	667	0.8327	0.82	0.0127	106622.0	0.049499	True
Amoebozoa	2992	14729	0.8474	0.85	-0.0026	21635514.0	0.942385	False
Viridiplantae	87451	283105	0.8357	0.8331	0.0027	12546804960.0	0.0	True
Chlorophyta	1361	9668	0.823	0.8263	-0.0033	6460311.0	0.860846	False
Rhodophyta	131	859	0.8491	0.8656	-0.0165	52496.0	0.897718	False
Haptophyta	370	2451	0.8146	0.8167	-0.0021	443202.0	0.759109	False
Cryptophyta	355	1451	0.8471	0.8482	-0.0012	255728.0	0.582839	False
Protist	3506	16974	0.8373	0.8411	-0.0037	29136156.0	0.97478	False
Fungi	1045	4948	0.8227	0.8248	-0.0022	2567271.0	0.639547	False
Porifera	901	4188	0.8282	0.8426	-0.0144	1761332.0	0.999217	False
Ctenophora	234	875	0.8154	0.819	-0.0036	95845.0	0.93432	False
Placozoa	117	462	0.8073	0.8153	-0.008	24892.0	0.909171	False
Xenacoelomorpha	430	1695	0.8216	0.8244	-0.0028	361440.0	0.60434	False
Cnidaria	2177	9004	0.8129	0.8176	-0.0048	9466304.0	0.99369	False
Platyhelminthes	794	4631	0.8229	0.826	-0.0031	1797992.0	0.841009	False
Rotifera	1776	9078	0.8649	0.8598	0.0051	8262795.0	0.04439	True
Nemertea	365	1426	0.8276	0.8241	0.0035	261687.0	0.434666	False
Annelida	1141	5731	0.8289	0.8158	0.0131	3458820.0	0.000951	True
Brachiopoda	265	985	0.8112	0.811	0.0002	127442.0	0.723116	False
Mollusca	4627	20083	0.815	0.8124	0.0026	46426092.0	0.532904	False
Acanthocephala	21	107	0.8116	0.8036	0.008	1090.0	0.586183	False
Nematomorpha	30	151	0.7857	0.8102	-0.0246	1882.0	0.930346	False
Nematoda	2398	10180	0.8278	0.8281	-0.0003	12105050.0	0.737126	False
Priapulida	178	1095	0.8411	0.8398	0.0013	97854.0	0.46485	False
Tardigrada	350	1493	0.8173	0.8154	0.0019	262922.0	0.42656	False
Collembola	593	2325	0.8217	0.8188	0.0029	689322.0	0.50091	False
Crustacea	7097	32156	0.8264	0.8293	-0.0029	111382762.0	0.999222	False
Myriapoda	379	1822	0.8171	0.8228	-0.0057	335920.0	0.798342	False
Chelicerata	5059	22974	0.8322	0.8263	0.0059	59653056.0	0.001468	True
Insecta	47212	233475	0.8248	0.8259	-0.0011	5423152497.0	1.0	False
Echinodermata	1245	5111	0.8217	0.8082	0.0135	3352551.0	0.001546	True
Hemichordata	377	1725	0.8265	0.8086	0.0179	355592.0	0.002053	True
Chordata	177	944	0.8253	0.8561	-0.0308	71828.0	0.998777	False
