taxon_id	domain	phylum
100226	Bacteria	Bacteria
1010633	Non-metazoan Eukaryota	Viridiplantae
10195	Metazoa	Rotifera
10224	Metazoa	Hemichordata
10228	Metazoa	Placozoa
103372	Metazoa	Insecta
1035111	Metazoa	Insecta
1035514	Non-metazoan Eukaryota	Apicomplexa
103775	Metazoa	Insecta
1041015	Metazoa	Insecta
104421	Metazoa	Insecta
104688	Metazoa	Insecta
104782	Metazoa	Rotifera
105785	Metazoa	Insecta
1076696	Non-metazoan Eukaryota	Amoebozoa
107806	Bacteria	Bacteria
1086592	Metazoa	Insecta
108931	Metazoa	Insecta
1093141	Non-metazoan Eukaryota	Protist
109376	Non-metazoan Eukaryota	Viridiplantae
109461	Metazoa	Chelicerata
110365	Non-metazoan Eukaryota	Apicomplexa
110368	Metazoa	Insecta
110835	Non-metazoan Eukaryota	Viridiplantae
1120755	Non-metazoan Eukaryota	Apicomplexa
112090	Non-metazoan Eukaryota	Oomycota
112268	Metazoa	Insecta
113334	Metazoa	Insecta
114398	Metazoa	Chelicerata
1144522	Non-metazoan Eukaryota	Metamonada
1148	Bacteria	Bacteria
1156394	Non-metazoan Eukaryota	Oomycota
116153	Metazoa	Insecta
1163345	Metazoa	Insecta
1163346	Metazoa	Insecta
117008	Non-metazoan Eukaryota	Apicomplexa
1172189	Non-metazoan Eukaryota	Ciliophora
1195612	Non-metazoan Eukaryota	Cryptophyta
120202	Metazoa	Crustacea
1202772	Non-metazoan Eukaryota	Oomycota
121224	Metazoa	Insecta
1218281	Metazoa	Insecta
121845	Metazoa	Insecta
1223555	Non-metazoan Eukaryota	Oomycota
1223556	Non-metazoan Eukaryota	Oomycota
1223557	Non-metazoan Eukaryota	Oomycota
1223558	Non-metazoan Eukaryota	Oomycota
1223560	Non-metazoan Eukaryota	Oomycota
122587	Bacteria	Bacteria
1226616	Metazoa	Insecta
1232801	Metazoa	Crustacea
1237626	Non-metazoan Eukaryota	Apicomplexa
1254522	Non-metazoan Eukaryota	Oomycota
1257118	Non-metazoan Eukaryota	Amoebozoa
125945	Metazoa	Insecta
126957	Metazoa	Myriapoda
1271730	Metazoa	Insecta
1271742	Metazoa	Insecta
1284355	Non-metazoan Eukaryota	Oomycota
129105	Metazoa	Insecta
1294199	Metazoa	Crustacea
12957	Metazoa	Insecta
12968	Non-metazoan Eukaryota	Protist
130081	Non-metazoan Eukaryota	Rhodophyta
13037	Metazoa	Insecta
13093	Metazoa	Cnidaria
1314962	Non-metazoan Eukaryota	Euglenozoa
1317065	Non-metazoan Eukaryota	Oomycota
13191	Metazoa	Insecta
13204	Metazoa	Insecta
132113	Metazoa	Insecta
13249	Metazoa	Insecta
133065	Metazoa	Insecta
13333	Non-metazoan Eukaryota	Viridiplantae
133434	Metazoa	Echinodermata
13451	Non-metazoan Eukaryota	Viridiplantae
135651	Metazoa	Nematoda
13599	Metazoa	Mollusca
136037	Metazoa	Insecta
13632	Metazoa	Insecta
13686	Metazoa	Insecta
138298	Non-metazoan Eukaryota	Apicomplexa
139456	Metazoa	Crustacea
139649	Metazoa	Insecta
139723	Metazoa	Insecta
141832	Metazoa	Acanthocephala
143948	Metazoa	Insecta
143950	Metazoa	Insecta
143995	Metazoa	Insecta
144034	Metazoa	Insecta
144406	Metazoa	Insecta
146531	Non-metazoan Eukaryota	Viridiplantae
146534	Non-metazoan Eukaryota	Viridiplantae
1486046	Metazoa	Insecta
1504633	Non-metazoan Eukaryota	Viridiplantae
151771	Metazoa	Cnidaria
1518534	Metazoa	Insecta
1529436	Metazoa	Echinodermata
15368	Non-metazoan Eukaryota	Viridiplantae
1537102	Non-metazoan Eukaryota	Apicomplexa
1551368	Metazoa	Myriapoda
157072	Non-metazoan Eukaryota	Oomycota
157538	Non-metazoan Eukaryota	Euglenozoa
158383	Non-metazoan Eukaryota	Viridiplantae
158441	Metazoa	Collembola
1590841	Non-metazoan Eukaryota	Viridiplantae
159736	Metazoa	Crustacea
159749	Non-metazoan Eukaryota	Bacillariophyta
161013	Metazoa	Insecta
163164	Bacteria	Bacteria
163373	Metazoa	Platyhelminthes
164328	Non-metazoan Eukaryota	Oomycota
165561	Metazoa	Insecta
166361	Metazoa	Insecta
167539	Bacteria	Bacteria
1686743	Metazoa	Chelicerata
169963	Bacteria	Bacteria
171101	Bacteria	Bacteria
1735272	Metazoa	Mollusca
174621	Metazoa	Insecta
174628	Metazoa	Insecta
176299	Bacteria	Bacteria
177416	Bacteria	Bacteria
178035	Metazoa	Insecta
178306	Archaea	Archaea
179676	Metazoa	Insecta
1813537	Non-metazoan Eukaryota	Viridiplantae
183589	Non-metazoan Eukaryota	Bacillariophyta
184922	Non-metazoan Eukaryota	Metamonada
185431	Non-metazoan Eukaryota	Euglenozoa
187420	Archaea	Archaea
188937	Archaea	Archaea
1890364	Non-metazoan Eukaryota	Amoebozoa
189513	Metazoa	Insecta
189518	Bacteria	Bacteria
189622	Non-metazoan Eukaryota	Apicomplexa
190192	Archaea	Archaea
190304	Bacteria	Bacteria
190385	Metazoa	Insecta
190485	Bacteria	Bacteria
190650	Bacteria	Bacteria
192222	Bacteria	Bacteria
194439	Bacteria	Bacteria
1965070	Metazoa	Chelicerata
197043	Metazoa	Insecta
197161	Metazoa	Insecta
197179	Metazoa	Insecta
197221	Bacteria	Bacteria
198719	Metazoa	Insecta
199890	Metazoa	Insecta
200361	Non-metazoan Eukaryota	Viridiplantae
2015173	Metazoa	Insecta
2023355	Metazoa	Insecta
202533	Metazoa	Chelicerata
203120	Bacteria	Bacteria
204669	Bacteria	Bacteria
206672	Bacteria	Bacteria
2072580	Metazoa	Tardigrada
208452	Non-metazoan Eukaryota	Apicomplexa
208964	Bacteria	Bacteria
210143	Non-metazoan Eukaryota	Viridiplantae
210225	Non-metazoan Eukaryota	Viridiplantae
210409	Metazoa	Crustacea
212042	Bacteria	Bacteria
214684	Non-metazoan Eukaryota	Fungi
214687	Non-metazoan Eukaryota	Viridiplantae
216596	Bacteria	Bacteria
217634	Metazoa	Insecta
218467	Metazoa	Chelicerata
220668	Bacteria	Bacteria
222816	Metazoa	Insecta
223615	Non-metazoan Eukaryota	Euglenozoa
224129	Metazoa	Insecta
224308	Bacteria	Bacteria
224324	Bacteria	Bacteria
224325	Archaea	Archaea
224326	Bacteria	Bacteria
224911	Bacteria	Bacteria
225164	Metazoa	Mollusca
226185	Bacteria	Bacteria
226186	Bacteria	Bacteria
227321	Non-metazoan Eukaryota	Fungi
227377	Bacteria	Bacteria
227882	Bacteria	Bacteria
228908	Archaea	Archaea
229193	Bacteria	Bacteria
2315210	Non-metazoan Eukaryota	Protist
231887	Metazoa	Insecta
235443	Non-metazoan Eukaryota	Fungi
237561	Non-metazoan Eukaryota	Fungi
242619	Bacteria	Bacteria
243090	Bacteria	Bacteria
243230	Bacteria	Bacteria
243231	Bacteria	Bacteria
243232	Archaea	Archaea
243274	Bacteria	Bacteria
243276	Bacteria	Bacteria
243277	Bacteria	Bacteria
246197	Bacteria	Bacteria
246409	Non-metazoan Eukaryota	Fungi
2483409	Non-metazoan Eukaryota	Oomycota
2498891	Metazoa	Insecta
251221	Bacteria	Bacteria
252671	Metazoa	Cnidaria
2607531	Metazoa	Mollusca
261658	Non-metazoan Eukaryota	Amoebozoa
262698	Bacteria	Bacteria
264732	Bacteria	Bacteria
2652724	Metazoa	Cnidaria
265311	Bacteria	Bacteria
265458	Metazoa	Insecta
266040	Metazoa	Chelicerata
266149	Non-metazoan Eukaryota	Ciliophora
2664684	Metazoa	Annelida
266834	Bacteria	Bacteria
267377	Archaea	Archaea
267608	Bacteria	Bacteria
267747	Bacteria	Bacteria
269796	Bacteria	Bacteria
2705178	Metazoa	Insecta
272557	Archaea	Archaea
272561	Bacteria	Bacteria
272563	Bacteria	Bacteria
272569	Archaea	Archaea
272620	Bacteria	Bacteria
272623	Bacteria	Bacteria
272634	Bacteria	Bacteria
272843	Bacteria	Bacteria
272844	Archaea	Archaea
272943	Bacteria	Bacteria
272947	Bacteria	Bacteria
273057	Archaea	Archaea
273075	Archaea	Archaea
273119	Bacteria	Bacteria
27405	Metazoa	Crustacea
27406	Metazoa	Crustacea
27457	Metazoa	Insecta
274613	Metazoa	Insecta
274614	Metazoa	Insecta
2769	Non-metazoan Eukaryota	Rhodophyta
2784310	Metazoa	Mollusca
27923	Metazoa	Ctenophora
27933	Metazoa	Porifera
2794001	Metazoa	Insecta
2795680	Metazoa	Insecta
28005	Non-metazoan Eukaryota	Euglenozoa
280463	Non-metazoan Eukaryota	Haptophyta
280699	Non-metazoan Eukaryota	Rhodophyta
281687	Metazoa	Nematoda
2820187	Metazoa	Ctenophora
2829445	Metazoa	Insecta
283166	Bacteria	Bacteria
283872	Non-metazoan Eukaryota	Viridiplantae
283909	Metazoa	Annelida
284812	Non-metazoan Eukaryota	Fungi
28584	Metazoa	Insecta
28586	Metazoa	Insecta
28588	Metazoa	Insecta
28610	Metazoa	Insecta
286706	Metazoa	Insecta
287889	Metazoa	Placozoa
2880	Non-metazoan Eukaryota	Protist
289376	Bacteria	Bacteria
289476	Metazoa	Nematoda
2898	Non-metazoan Eukaryota	Cryptophyta
29022	Metazoa	Myriapoda
29029	Metazoa	Insecta
29030	Metazoa	Insecta
29031	Metazoa	Insecta
29053	Metazoa	Insecta
29058	Metazoa	Insecta
29159	Metazoa	Mollusca
2921223	Metazoa	Insecta
294128	Metazoa	Crustacea
2943436	Metazoa	Tardigrada
294381	Non-metazoan Eukaryota	Amoebozoa
2951	Non-metazoan Eukaryota	Protist
296543	Non-metazoan Eukaryota	Bacillariophyta
29730	Non-metazoan Eukaryota	Viridiplantae
29760	Non-metazoan Eukaryota	Viridiplantae
29920	Non-metazoan Eukaryota	Oomycota
299467	Metazoa	Chelicerata
30019	Metazoa	Insecta
30023	Metazoa	Insecta
30025	Metazoa	Insecta
300267	Bacteria	Bacteria
30033	Metazoa	Insecta
30066	Metazoa	Insecta
30069	Metazoa	Insecta
300852	Bacteria	Bacteria
30195	Metazoa	Insecta
30207	Metazoa	Insecta
3053472	Metazoa	Nematomorpha
3055	Non-metazoan Eukaryota	Chlorophyta
307658	Metazoa	Insecta
309800	Archaea	Archaea
309807	Bacteria	Bacteria
309941	Metazoa	Insecta
311213	Non-metazoan Eukaryota	Viridiplantae
312017	Non-metazoan Eukaryota	Ciliophora
312309	Bacteria	Bacteria
31234	Metazoa	Nematoda
31271	Non-metazoan Eukaryota	Apicomplexa
313031	Metazoa	Insecta
313075	Metazoa	Insecta
315563	Metazoa	Insecta
318586	Bacteria	Bacteria
3197	Non-metazoan Eukaryota	Viridiplantae
320372	Bacteria	Bacteria
3218	Non-metazoan Eukaryota	Viridiplantae
32260	Metazoa	Insecta
32264	Metazoa	Chelicerata
322710	Bacteria	Bacteria
323259	Archaea	Archaea
32391	Metazoa	Insecta
324602	Bacteria	Bacteria
325434	Metazoa	Insecta
327109	Metazoa	Chelicerata
329112	Metazoa	Insecta
330779	Archaea	Archaea
330879	Non-metazoan Eukaryota	Fungi
33412	Metazoa	Insecta
335283	Bacteria	Bacteria
336722	Non-metazoan Eukaryota	Fungi
343691	Metazoa	Insecta
34506	Metazoa	Nematoda
34597	Metazoa	Chelicerata
34615	Metazoa	Chelicerata
34620	Metazoa	Chelicerata
34632	Metazoa	Chelicerata
34638	Metazoa	Chelicerata
3469	Non-metazoan Eukaryota	Viridiplantae
34690	Metazoa	Insecta
34691	Metazoa	Insecta
34740	Metazoa	Insecta
