phylum	n_species	mean_pct_terminal	std_pct_terminal	cv_pct
Bacteria	92	27.01	13.29	49.2
Archaea	27	26.63	11.51	43.2
Oomycota	26	21.94	3.56	16.2
Bacillariophyta	5	18.88	2.86	15.1
Apicomplexa	43	15.67	5.41	34.5
Ciliophora	7	26.19	7.15	27.3
Rhizaria	3	21.66	9.58	44.2
Euglenozoa	16	18.84	5.22	27.7
Metamonada	6	19.63	5.62	28.6
Amoebozoa	10	20.82	5.56	26.7
Viridiplantae	132	23.69	3.52	14.9
Chlorophyta	6	16.63	6.01	36.1
Rhodophyta	3	13.75	2.6	18.9
Cryptophyta	3	27.38	19.91	72.7
Protist	12	18.28	3.8	20.8
Fungi	11	18.97	4.63	24.4
Porifera	4	19.37	5.1	26.3
Ctenophora	2	21.08	0.86	4.1
Placozoa	2	19.98	1.67	8.4
Xenacoelomorpha	3	20.43	1.72	8.4
Cnidaria	13	19.54	2.77	14.2
Platyhelminthes	7	15.88	4.29	27.0
Rotifera	3	15.43	2.27	14.7
Nemertea	2	20.36	0.17	0.8
Annelida	5	17.75	3.33	18.8
Mollusca	23	19.12	2.22	11.6
Nematoda	15	18.96	3.98	21.0
Tardigrada	2	19.23	1.38	7.2
Collembola	2	19.98	1.7	8.5
Crustacea	21	17.75	2.06	11.6
Myriapoda	3	17.19	3.26	18.9
Chelicerata	28	18.16	2.58	14.2
Insecta	218	17.39	2.71	15.6
Echinodermata	6	19.69	0.9	4.6
Hemichordata	2	18.1	1.01	5.6
