species_key	display_name	phylum	n_lcr	n_nterm	n_cterm	pct_nterm	pct_cterm	nterm_or	nterm_p	nterm_sig	cterm_or	cterm_p	cterm_sig	asymmetry_ratio	log_odds_asymmetry	low_conf_asymmetry
acanthamoeba_castellanii	Acanthamoeba castellanii	Amoebozoa	2121	164	190	7.73	8.96	1.592	0.000164	True	1.869	0.0	True	0.863	-0.1467	False
achlya_hypogyna_gca_002081595	Achlya hypogyna str. ATCC 48635	Oomycota	472	55	45	11.65	9.53	2.569	0.000108	True	2.053	0.004001	True	1.222	0.1987	False
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	Bacteria	32	4	6	12.5	18.75	4.286	0.187248	False	6.923	0.056858	False	0.667	-0.3677	True
acromyrmex_echinatior_gca000204515v1rs	Acromyrmex echinatior	Insecta	934	90	62	9.64	6.64	2.056	5.9e-05	True	1.371	0.069101	False	1.452	0.3702	False
acropora_millepora_gca013753865v1	Acropora millepora	Cnidaria	853	79	95	9.26	11.14	1.968	0.000324	True	2.417	1e-06	True	0.832	-0.1834	False
actinia_equina_gca011057435	Actinia equina	Cnidaria	2406	173	238	7.19	9.89	1.475	0.00085	True	2.09	0.0	True	0.727	-0.3182	False
actinia_tenebrosa_gca009602425v1	Actinia tenebrosa	Cnidaria	816	79	92	9.68	11.27	2.077	0.000137	True	2.462	1e-06	True	0.859	-0.1515	False
actinidia_chinensis	Actinidia chinensis	Viridiplantae	1668	297	124	17.81	7.43	4.134	0.0	True	1.533	0.002028	True	2.395	0.8711	False
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	Bacteria	9	3	3	33.33	33.33	inf	0.123529	False	inf	0.123529	False	1.0	0.0	True
acyrthosiphon_pisum_gca005508785v2rs	Acyrthosiphon pisum	Insecta	1191	107	108	8.98	9.07	1.892	7.3e-05	True	1.912	5.4e-05	True	0.991	-0.0093	False
adelges_cooleyi_gca023614345v1rs	Adelges cooleyi	Insecta	834	80	88	9.59	10.55	2.05	0.000155	True	2.279	1.1e-05	True	0.909	-0.0947	False
