species_key	display_name	class	n_lcr	n_nterm	pct_nterm	nterm_OR	nterm_p	nterm_sig
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	with_signal_peptide	0	0				
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	without_signal_peptide	0	0				
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	unannotated	32	4	12.5	4.286	0.187248	False
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	with_signal_peptide	0	0				
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	without_signal_peptide	0	0				
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	unannotated	9	3	33.33	inf	0.123529	False
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	with_signal_peptide	0	0				
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	without_signal_peptide	0	0				
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	unannotated	53	12	22.64	7.317	0.004359	True
agrobacterium_fabrum_str_c58_gca_000092025	Agrobacterium fabrum str. C58	with_signal_peptide	0	0				
agrobacterium_fabrum_str_c58_gca_000092025	Agrobacterium fabrum str. C58	without_signal_peptide	0	0				
agrobacterium_fabrum_str_c58_gca_000092025	Agrobacterium fabrum str. C58	unannotated	40	4	10.0	2.111	0.33758	False
aliivibrio_fischeri_es114_gca_000011805	Aliivibrio fischeri ES114	with_signal_peptide	0	0				
aliivibrio_fischeri_es114_gca_000011805	Aliivibrio fischeri ES114	without_signal_peptide	0	0				
aliivibrio_fischeri_es114_gca_000011805	Aliivibrio fischeri ES114	unannotated	39	4	10.26	4.229	0.187333	False
anaplasma_phagocytophilum_str_hz_gca_000013125	Anaplasma phagocytophilum str. HZ	with_signal_peptide	0	0				
anaplasma_phagocytophilum_str_hz_gca_000013125	Anaplasma phagocytophilum str. HZ	without_signal_peptide	0	0				
anaplasma_phagocytophilum_str_hz_gca_000013125	Anaplasma phagocytophilum str. HZ	unannotated	5	0	0.0		1.0	False
aquifex_aeolicus	Aquifex aeolicus	with_signal_peptide	0	0				
aquifex_aeolicus	Aquifex aeolicus	without_signal_peptide	0	0				
aquifex_aeolicus	Aquifex aeolicus	unannotated	15	5	33.33	inf	0.025287	True
azotobacter_vinelandii_dj_gca_000021045	Azotobacter vinelandii DJ	with_signal_peptide	0	0				
azotobacter_vinelandii_dj_gca_000021045	Azotobacter vinelandii DJ	without_signal_peptide	0	0				
azotobacter_vinelandii_dj_gca_000021045	Azotobacter vinelandii DJ	unannotated	39	6	15.38	6.727	0.057951	False
bacillus_subtilis	Bacillus subtilis	with_signal_peptide	6	2	33.33	inf	0.272727	False
bacillus_subtilis	Bacillus subtilis	without_signal_peptide	23	0	0.0	0.0	1.0	False
bacillus_subtilis	Bacillus subtilis	unannotated	0	0				
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065	Bacteroides thetaiotaomicron VPI-5482	with_signal_peptide	0	0				
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065	Bacteroides thetaiotaomicron VPI-5482	without_signal_peptide	0	0				
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065	Bacteroides thetaiotaomicron VPI-5482	unannotated	49	14	28.57	9.2	0.00106	True
bartonella_henselae_str_houston_1_gca_000046705	Bartonella henselae str. Houston-1	with_signal_peptide	0	0				
bartonella_henselae_str_houston_1_gca_000046705	Bartonella henselae str. Houston-1	without_signal_peptide	0	0				
bartonella_henselae_str_houston_1_gca_000046705	Bartonella henselae str. Houston-1	unannotated	15	1	6.67	inf	0.517241	False
bifidobacterium_longum_ncc2705_gca_000007525	Bifidobacterium longum NCC2705	with_signal_peptide	0	0				
bifidobacterium_longum_ncc2705_gca_000007525	Bifidobacterium longum NCC2705	without_signal_peptide	0	0				
bifidobacterium_longum_ncc2705_gca_000007525	Bifidobacterium longum NCC2705	unannotated	24	2	8.33	2.0	0.516312	False
borrelia_burgdorferi	Borrelia burgdorferi	with_signal_peptide	1	0	0.0		1.0	False
borrelia_burgdorferi	Borrelia burgdorferi	without_signal_peptide	5	1	20.0	inf	0.555556	False
borrelia_burgdorferi	Borrelia burgdorferi	unannotated	0	0				
borreliella_burgdorferi_b31_gca_000008685	Borreliella burgdorferi B31	with_signal_peptide	0	0				
borreliella_burgdorferi_b31_gca_000008685	Borreliella burgdorferi B31	without_signal_peptide	0	0				
borreliella_burgdorferi_b31_gca_000008685	Borreliella burgdorferi B31	unannotated	6	1	16.67	inf	0.545455	False
bradyrhizobium_diazoefficiens_usda_110_gca_000011365	Bradyrhizobium diazoefficiens USDA 110	with_signal_peptide	0	0				
bradyrhizobium_diazoefficiens_usda_110_gca_000011365	Bradyrhizobium diazoefficiens USDA 110	without_signal_peptide	0	0				
bradyrhizobium_diazoefficiens_usda_110_gca_000011365	Bradyrhizobium diazoefficiens USDA 110	unannotated	79	9	11.39	3.214	0.068162	False
brucella_abortus_bv_1_str_9_941_gca_000008145	Brucella abortus bv. 1 str. 9-941	with_signal_peptide	0	0				
brucella_abortus_bv_1_str_9_941_gca_000008145	Brucella abortus bv. 1 str. 9-941	without_signal_peptide	0	0				
brucella_abortus_bv_1_str_9_941_gca_000008145	Brucella abortus bv. 1 str. 9-941	unannotated	23	2	8.7	2.0	0.517054	False
buchnera_aphidicola_str_aps_acyrthosiphon_pisum__gca_000009605	Buchnera aphidicola str. APS	with_signal_peptide	0	0				
