species_key	display_name	phylum	n_lcr	n_terminal	pct_terminal	odds_ratio	pvalue	significant
acanthamoeba_castellanii	Acanthamoeba castellanii	Amoebozoa	2121	354	16.69	1.803	0.0	True
acanthaster_planci_gca001949145v1	Acanthaster planci	Echinodermata	0	0				
achlya_hypogyna_gca_002081595	Achlya hypogyna str. ATCC 48635	Oomycota	472	100	21.19	2.425	1e-06	True
acinetobacter_baumannii_aye_gca_000069245	Acinetobacter baumannii AYE	Bacteria	32	10	31.25	4.242	0.034134	True
acromyrmex_echinatior_gca000204515v1rs	Acromyrmex echinatior	Insecta	934	152	16.27	1.756	3.4e-05	True
acropora_millepora_gca013753865v1	Acropora millepora	Cnidaria	853	174	20.4	2.312	0.0	True
actinia_equina_gca011057435	Actinia equina	Cnidaria	2406	411	17.08	1.858	0.0	True
actinia_tenebrosa_gca009602425v1	Actinia tenebrosa	Cnidaria	816	171	20.96	2.402	0.0	True
actinidia_chinensis	Actinidia chinensis	Viridiplantae	1668	421	25.24	3.053	0.0	True
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	Bacteria	9	6	66.67	inf	0.006787	True
acyrthosiphon_pisum_gca005508785v2rs	Acyrthosiphon pisum	Insecta	1191	215	18.05	1.983	0.0	True
adelges_cooleyi_gca023614345v1rs	Adelges cooleyi	Insecta	834	168	20.14	2.279	0.0	True
adiantum_capillus_veneris	Adiantum capillus-veneris	Viridiplantae	1079	248	22.98	2.708	0.0	True
adineta_vaga	Adineta vaga	Rotifera	3887	617	15.87	1.701	0.0	True
aedes_aegypti_lvpagwg	Aedes aegypti	Insecta	1255	236	18.8	2.092	0.0	True
aedes_albopictus_gca035046485v1rs	Aedes albopictus	Insecta	1860	351	18.87	2.093	0.0	True
aegilops_tauschii	Aegilops tauschii	Viridiplantae	2266	567	25.02	3.011	0.0	True
aegilops_umbellulata	Aegilops umbellulata	Viridiplantae	2329	720	30.91	4.043	0.0	True
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Bacteria	53	17	32.08	4.439	0.004281	True
aeropyrum_pernix_k1_gca_000011125	Aeropyrum pernix K1	Archaea	22	7	31.82	4.433	0.076299	False
aethina_tumida_gca024364675v1rs	Aethina tumida	Insecta	605	111	18.35	2.037	1.7e-05	True
agrilus_planipennis_gca000699045v2	Agrilus planipennis	Insecta	609	128	21.02	2.43	0.0	True
agrobacterium_fabrum_str_c58_gca_000092025	Agrobacterium fabrum str. C58	Bacteria	40	11	27.5	3.414	0.041717	True
aliivibrio_fischeri_es114_gca_000011805	Aliivibrio fischeri ES114	Bacteria	39	8	20.51	3.011	0.10384	False
amblyomma_americanum_gca030143305v2gb	Amblyomma americanum	Chelicerata	1919	217	11.31	1.153	0.096146	False
amblyteles_armatorius_gca933228735v1	Amblyteles armatorius	Insecta	845	137	16.21	1.751	8.6e-05	True
amborella_trichopoda	Amborella trichopoda	Viridiplantae	828	184	22.22	2.596	0.0	True
amphibalanus_amphitrite_gca019059575v1	Amphibalanus amphitrite	Crustacea	2449	466	19.03	2.123	0.0	True
amphimedon_queenslandica_gca000090795v2rs	Amphimedon queenslandica	Porifera	1216	275	22.62	2.642	0.0	True
amyelois_transitella_gca032362555v1rs	Amyelois transitella	Insecta	541	119	22.0	2.538	0.0	True
ananas_comosus	Ananas comosus	Viridiplantae	3725	873	23.44	2.758	0.0	True
anaplasma_phagocytophilum_str_hz_gca_000013125	Anaplasma phagocytophilum str. HZ	Bacteria	5	1	20.0	inf	0.555556	False
anastrepha_ludens_gca028408465v1rs	Anastrepha ludens	Insecta	1416	246	17.37	1.9	0.0	True
anastrepha_obliqua_gca027943255v1rs	Anastrepha obliqua	Insecta	1423	221	15.53	1.657	6e-06	True
ancistrocerus_nigricornis_gca916049575v1	Ancistrocerus nigricornis	Insecta	681	98	14.39	1.513	0.008277	True
angomonas_deanei_gca_000442575	Angomonas deanei	Euglenozoa	1806	528	29.24	3.73	0.0	True
anneissia_japonica_gca011630105v1	Anneissia japonica	Echinodermata	669	137	20.48	2.349	0.0	True
anopheles_albimanus_gca013758885v1rs	Anopheles albimanus	Insecta	2529	378	14.95	1.587	0.0	True
anopheles_arabiensis	Anopheles arabiensis	Insecta	2260	341	15.09	1.599	0.0	True
anopheles_atroparvus_gca914969975	Anopheles atroparvus	Insecta	2039	297	14.57	1.541	4e-06	True
anopheles_christyi	Anopheles christyi	Insecta	1496	227	15.17	1.616	1.1e-05	True
anopheles_coluzzii_gca943734685v1rs	Anopheles coluzzii	Insecta	2281	357	15.65	1.67	0.0	True
anopheles_culicifacies	Anopheles culicifacies	Insecta	1590	198	12.45	1.28	0.016341	True
anopheles_darlingi_gca943734745v1rs	Anopheles darlingi	Insecta	2659	414	15.57	1.665	0.0	True
anopheles_dirus	Anopheles dirus	Insecta	2314	330	14.26	1.499	5e-06	True
anopheles_epiroticus	Anopheles epiroticus	Insecta	1818	269	14.8	1.57	6e-06	True
anopheles_farauti	Anopheles farauti	Insecta	2593	348	13.42	1.396	7.2e-05	True
anopheles_funestus_gca943734845v1rs	Anopheles funestus	Insecta	1598	247	15.46	1.653	2e-06	True
anopheles_gambiae	Anopheles gambiae	Insecta	2251	348	15.46	1.646	0.0	True
anopheles_maculatus	Anopheles maculatus	Insecta	1596	182	11.4	1.162	0.104804	False
anopheles_melas	Anopheles melas	Insecta	2611	387	14.82	1.566	0.0	True
anopheles_merus	Anopheles merus	Insecta	2413	382	15.83	1.694	0.0	True
anopheles_minimus	Anopheles minimus	Insecta	1578	213	13.5	1.411	0.001178	True
anopheles_quadriannulatus_gca000349065v1vb	Anopheles quadriannulatus	Insecta	2272	333	14.66	1.546	1e-06	True
anopheles_sinensis	Anopheles sinensis	Insecta	1762	242	13.73	1.434	0.000355	True
anopheles_stephensi_indian	Anopheles stephensi	Insecta	2023	299	14.78	1.563	2e-06	True
anoplophora_glabripennis	Anoplophora glabripennis	Insecta	476	89	18.7	2.094	7e-05	True
anthonomus_grandis_gca022605725v3rs	Anthonomus grandis grandis	Insecta	556	112	20.14	2.293	1e-06	True
aphanomyces_astaci_gca000520075	Aphanomyces astaci	Oomycota	926	218	23.54	2.788	0.0	True
